CO_ENTIDADE,NO_ENTIDADE
26009544,ESCOLA ESTADUAL INDIGENA ANTONIO HONORIO SOBRINHO
26009919,ESCOLA MUL LIVINO LOPES DA SILVA
26040280,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR AURELIANO GONCALVES DOS SANTOS
26040298,ESCOLA MUNICIPAL CAPITULINA GONCALVES DE SA
26040301,ESCOLA ESTADUAL INDIGENA ROSILDA SABAS DE SOUZA
26040310,ESCOLA BOM JESUS DOS AFLITOS
26040344,ESCOLA ESTADUAL INDIGENA MANOEL VICENTE DA SILVA
26040379,ESCOLA MUL JABURU
26040387,ESCOLA JOAO LIMA
26040395,ESCOLA MUNICIPAL JOAO LOPES
26040425,ESCOLA MUNICIPAL JOSE DE AQUINO
26040433,ESCOLA MUNICIPAL EMIDIO QUIRINO DE SA
26040441,ESCOLA MANOEL JOAO DE SOUZA
26040468,ESCOLA OLHO DAGUA DO PADRE
26040476,ESCOLA OLIMPIO PEREIRA
26040484,ESCOLA MUNICIPAL PE MANOEL DA NOBREGA
26040492,ESCOLA MUL PROF MARIA DOS ANJOS S NOVAES
26040506,ESCOLA QUINTINO DE MENEZES
26040522,ESCOLA SAGRADA FAMILIA
26040530,ESCOLA ESTADUAL INDIGENA TIA AMELIA CAXIADO
26040549,ESCOLA SANTA ANA
26040557,ESCOLA VICENTE MUNIZ
26040581,ESCOLA GOV ESTACIO COIMBRA
26040603,ESCOLA ANTONIO DUDU
26040620,ESCOLA MUNICIPAL PADRE EVALDO BETTE
26040638,ESCOLA MUNICIPAL FERNANDA PAULA DE MENEZES CARVALHO
26040646,ESCOLA EMILIANO QUIRINO DE SA
26040662,ESCOLA MUNICIPAL FRANCISCO LOPES
26040697,ESCOLA ESTADUAL INDIGENA COSME E DAMIAO
26040719,ESCOLA MUNICIPAL LADISLAU R DOS SANTOS
26040727,ESCOLA ESTADUAL INDIGENA PEDRO FRANCISCO DE OLIVEIRA
26040735,ESCOLA MUNICIPAL MANOEL GONCALVES DE SA
26040743,ESCOLA ESTADUAL INDIGENA MILTON PEREIRA NETO
26040751,ESCOLA MONTEIRO LOBATO
26040760,ESCOLA ODILON NUNES
26040778,ESCOLA MUNICIPAL RAINHA DA PAZ
26040786,ESCOLA ESTADUAL INDIGENA MANOEL MIGUEL DO NASCIMENTO
26040794,ESCOLA ESTADUAL INDIGENA NOSSA SENHORA DE FATIMA
26040808,ESCOLA ANA NUNES DA SILVA
26040824,ESCOLA ESTADUAL INDIGENA ESPECIOSA BENIGNA DE BARROS
26139081,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO RODRIGUES LEITE
26146983,ESCOLA MUNICIPAL MANOEL FREIRE
26146991,ESCOLA JULIO JOSE DA SILVA
26147009,ESCOLA MUNICIPAL PROFESSORA MARIA PIRES SOARES
26151138,CRECHE CARROSSEL
26151146,CRECHE CURUMIM
26151162,CRECHE GIRASSOL
26158582,ESCOLA SIMAO CICERO DA SILVA
26158990,ESCOLA ALDEIA ESTREITO
26169738,ESCOLA SANTA MADALENA
26169746,ESCOLA CACHOEIRA II
26169754,ESCOLA CAXUA
26169762,ESCOLA ESTADUAL INDIGENA SAO JOSE
26169789,ESCOLA MUNICIPAL JULIO BERNARDO
26173638,ESCOLA ANTONIO MANOEL DA SILVA
26173689,ESCOLA SANTO EXPEDITO
26173697,ESCOLA NOSSA SENHORA APARECIDA
26173700,ESCOLA JOSE JERONIMO BARBOSA
26173719,ESCOLA VO OLINDINA
26176157,ESCOLA MUNICIPAL JOSE ALVES FEITOSA
26176173,ESCOLA MUNICIPAL SAO SEBASTIAO
26178842,CRECHE CHAPEUZINHO VERMELHO
26184710,ESCOLA ESTADUAL INDIGENA VO SALU
26186420,ESCOLA ESTADUAL INDIGENA NOSSA SENHORA DA CONCEICAO
26186438,ESCOLA ESTADUAL INDIGENA MESTRE OTAVIANO
26188643,ESCOLA ESTADUAL INDIGENA ANANIAS DE SENA
26363631,CRECHE LUZ DO SABER
26364611,CRECHE PEQUENOS GUERREIROS
26365618,CRECHE MENINO JESUS
26369613,ESCOLA MUNICIPAL PEDRO VALERIO DOS SANTOS
26370611,ESCOLA MUNICIPAL ALDAS DINIZ CARVALHO
26377616,CRECHE GUERREIROS DO AMANHA
26378612,CRECHE RAPUNZEL
26382610,CRECHE CINDERELA
