CO_ENTIDADE,NO_ENTIDADE
24049239,CRECHE MENINO JESUS
24049247,ESCOLA ESTADUAL PROFESSOR PEDRO ALEXANDRINO
24049395,UNID DE ENS JOSE RODRIGUES DOS SANTOS
24049409,UNID DE ENSINO TEREZINHA ARAUJO DE OLIVEIRA
24049441,ESC MUL IZABEL MOURA DE ANDRADE
24049468,ESC MUL LUIZ VARELA
24049492,UNID DE ENS MANOEL SOARES DE MOURA
24049506,UNIDADE DE ENSINO TOMAZ GARCIA DE ARAUJO
24068870,UNIDADE DE ENSINO CALIXTO JOAO DA CUNHA
24293326,EDUCANDARIO REINO DA CRIANCA
24296333,JARDIM ESCOLA APRENDENDO COM AS LETRAS
