CO_ENTIDADE,NO_ENTIDADE
24012750,ANEXO DA ESC EST CRISTOVAO C QUEIROZ
24012882,ESCOLA MUNICIPAL CORONEL JOAO PESSOA
24012890,ESCOLA ESTADUAL CRISTOVAO COLOMBO DE QUEIROZ
24012920,ESC ISOLADA GUARDADO
24012947,ESC ISOLADA JUNCO
24012980,UNIDADE XI MARIA CORNELIA
24013030,ESCOLA MUNICIPAL JOSE AUGUSTO DA SILVA
24013048,ESCOLA MUNICIPAL FRANCISCO VITAL DA CUNHA
24013099,UNIDADE VI JOSE PEREIRA DO REGO
24013102,UNIDADE XIII LUPICINIO CORREIA
24013196,UNIDADE XV JOSEFA NOGUEIRA DE QUEIROZ
24013200,ESCOLA MUNICIPAL MUNDO NOVO
24013218,UNIDADE IX VICENTE MARQUES
24013242,ESCOLA MUNICIPAL RAIMUNDA MARQUES DE MELO
24013269,ESCOLA MUNICIPAL SONHO INFANTIL
24083828,ESCOLA MUNICIPAL SEBASTIAO LEITE DA SILVA
24099805,ESCOLA MUNICIPAL JOSE NERI DE OLIVEIRA
24208205,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS
