CO_ENTIDADE,NO_ENTIDADE
24056731,ESC MUL PROFA EMILIA RAMOS
24056740,ESCOLA ESTADUAL CASA DO MENOR TRABALHADOR
24056758,INSTITUTO EDUCACIONAL CASA ESCOLA
24056774,CENTRO DE EDUCACAO DE JOVENS E ADULTOS PROFESSOR FELIPE GUERRA
24056782,ESCOLA ADVENTISTA DO NATAL
24056839,CMEI PROFA STELLA LOPES DA SILVA
24056901,CMEI MISSIONARIO ODILON DOS SANTOS
24056936,CMEI KATIA FAGUNDES GARCIA
24056944,CMEI NOSSA SENHORA AUXILIADORA
24056952,CMEI PADRE JOAO PERESTRELLO
24056987,CENTRO DE EDUCACAO DE JOVENS E ADULTOS PROFESSORA LIA CAMPOS
24056995,ESCOLA DE EDUCACAO BASICA PROFESSOR HEITOR CARRILHO
24057002,COMPLEXO EDUCACIONAL CONTEMPORANEO
24057010,COLEGIO DE NOSSA SRA DE FATIMA
24057053,COL EST DO ATHENEU NORTE RIOGRANDENSE
24057061,COLEGIO EXECUTIVO LTDA
24057096,COLEGIO NOSSA SENHORA DAS NEVES
24057126,COLEGIO SALESIANO SAO JOSE
24057134,COLEGIO MARISTA DE NATAL
24057169,FACEX
24057193,COLEGIO OBJETIVO DE NATAL
24057207,COMPLEXO EDUC HENRIQUE CASTRICIANO
24057363,ESCOLA ESTADUAL AMBULATORIO MATIAS MOREIRA
24057371,ESCOLA ESTADUAL AMBULATORIO PADRE JOAO MARIA
24057410,ESCOLA ESTADUAL UNIAO
24057436,ESCOLA ESTADUAL CONEGO MONTE
24057444,ESCOLA DOM MARCOLINO DANTAS
24057452,ESC MUL MONSENHOR JOAQUIM HONORIO
24057517,ESC EST ENCONTRO DE IRMAOS
24057525,ESCOLA DOMESTICA DE NATAL
24057533,ESCOLA ESPACO LIVRE - CENTRO SOCIO-PASTORAL NOSSA SENHORA DA CONCEICAO
24057550,ESCOLA ESTADUAL EURIPEDES BARSANULFO
24057568,ESCOLA ESTADUAL 12 DE OUTUBRO
24057576,ESCOLA ESTADUAL ALBERTO TORRES
24057584,ESCOLA ESTADUAL ALMIRANTE NEWTON BRAGA FARIA
24057592,ESCOLA ESTADUAL AUGUSTO SEVERO
24057606,ESCOLA ESTADUAL BELEM CAMARA
24057614,ESCOLA ESTADUAL BERILO WANDERLEY
24057630,ESCOLA ESTADUAL DE EDUCACAO EM TEMPO INTEGRAL CAFE FILHO
24057649,EE CALAZANS PINHEIRO
24057657,ESCOLA ESTADUAL CASTRO ALVES
24057690,ESCOLA ESTADUAL DEPUTADO MARCIO MARINHO
24057703,ESCOLA ESTADUAL DESEMBARGADOR FLORIANO CAVALCANTI
24057711,ESCOLA ESTADUAL DESEMBARGADOR REGULO TINOCO
24057738,ESCOLA ESTADUAL DJALMA ARANHA MARINHO
24057762,ESCOLA ESTADUAL DOUTOR GRACILIANO LORDAO
24057789,ESCOLA ESTADUAL DOUTOR MAIA NETO
24057797,ESCOLA ESTADUAL DOUTOR MANOEL DANTAS
24057800,ESCOLA ESTADUAL MANOEL VILACA
24057819,ESCOLA ESTADUAL FELIZARDO MOURA
24057827,ESCOLA ESTADUAL FERREIRA ITAJUBA ENSINO MEDIO EM TEMPO INTEGRAL
24057835,ESCOLA ESTADUAL GENERAL ANTONIO VISINGTAINER SANTOS ROCHA
