CO_ENTIDADE,NO_ENTIDADE
25078976,EMEF BEATRIZ ERNESTO DE MELO
25078992,ECIT FRANCISCO ERNESTO DO REGO
25079115,ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL MEDIO E EJA JOSE TAVARES
25079280,ESCOLA SANTA MARIA
25079298,EMEIF PROFESSOR JOSE MIRANDA
25079301,EMEIF ANTONIO TROVAO
25079344,EMEIF EDUARDO CORREIA LIMA
25079360,EMEIF JOAO FERRAZ
25079387,EMEIF JOSE DUARTE DA COSTA
25079409,EMEIF JOSE PEREIRA DE SOUZA
25079417,EMEIF JOVENTINO ERNESTO DO REGO
25079441,EMEIF MARIA CARDOSO
25079468,EMEF MARIA DULCE BARBOSA
25079484,EMEF NOSSA SENHORA DE FATIMA
25079522,EMEIF SALOMAO PEDRO DA SILVA
25079565,EMEIF VALENTIM BARBOSA
25079573,EMEF LINDOMAR
25079638,EMEIF ALZIRA MAIA
25079646,EMEIF ANTONIO AMARO
25079689,EMEF CAPITAO ANTONIO MUNIZ
25079697,EMEIF EVALDO GONZAGA
25079719,EMEIF HERACLITO DO REGO
25079735,EMEF MANOEL DO CARMO BARBOSA
25079743,EMEIF IRMAOS ALEXANDRINO
25079794,EMEIF JOSE FRANCISCO BEZERRA
25079859,EMEIF LEONILDO MACIEL
25079875,EMEIF MANOEL GERVASIO DA CRUZ
25079905,EMEIF SANTINO PACHU DOS SANTOS
25079948,EMEIF VIDAL DE NEGREIROS
25079956,COLEGIO MENINO JESUS
25106384,EMEF TERTULIANO MACIEL
25106392,EMEIF JOAQUIM ALVES BATISTA
25106554,CRECHE MUNICIPAL IRENE PEREIRA DOS SANTOS
25106562,CRECHE MUNICIPAL MARIETA MARINHO FALCAO
25110888,EMEF ANTONIO VITAL DO REGO
25115278,CENTRO EDUCACIONAL TURMINHA DO ABC
25119770,ESC NOSSA SENHORA DO CARMO
25121103,EMEIF CARLOS ERNESTO
25122959,ESCOLA IMACULADA CONCEICAO
25122967,ESCOLA APRENDER COM ALEGRIA
25123009,ESCOLA PEQUENO GENIO MARIA JOSE DUARTE DA COSTA
25125648,EMEF JUDITH BARBOSA DE PAULA REGO
25126415,EEEFM TEREZA ALVES DE MOURA
25127233,ESCOLA PINGO DE GENTE LUIZ TOMAS DE MEDEIROS
25128027,CENTRO EDUCACIONAL PEQUENO SONHADOR
25128833,CRECHE MUNICIPAL MARIA JOSE SARAIVA LEITE
25132440,EMEF VIRGINIA MIRANDA DA SILVA
25132458,EMEF GERALDA BARBOSA SA SILVA
25133691,EMEIF PROFESSORA EVA VILMA DA SILVA PEREIRA
25133705,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MIGUEL ALEXANDRINO DE AGUIAR
25154800,ESCOLA EDUCANDARIO FACULDADE DAS CRIANCAS
25173804,CENTRO DE DESENVOLVIMENTO INFANTIL FAVO DE MEL
25215809,ESCOLA HORA DA ALEGRIA
25246925,EDUCANDARIO SANTA TEREZINHA
25258931,ESPACO EDUCACIONAL DA CRIANCA
25311921,EDUCANDARIO LUZ DO SABER
