CO_ENTIDADE,NO_ENTIDADE
25098780,EMEF FLAVIANO RIBEIRO COUTINHO
25098829,CENTRO EDUCACIONAL SANTA TEREZINHA
25098896,COFRAG - COLEGIO DR FRANCISCO AGUIAR
25098918,CIEI FUNCIONARIO JOAO MOREIRA
25098926,CIEI GENERAL ANTONIO ALVES
25098934,CIEI JOSE CANDIDO FEITOSA
25098942,CIEI LOURDES TORRES
25098950,CIEI RAQUEL PEDROSA
25098969,CIEI NENZINHA RIBEIRO
25098977,CIEI ELIAS HECKMANS
25098985,CIEI MARIA CARMELITA MAROJA PEDROZA
25098993,CIEI HEITEL SANTIAGO
25099027,EDUCANDARIO SANTA LUCIA
25099078,EMEF JAPUNGU
25099086,EMEF SEVERINO BEZERRA CABRAL
25099108,EDUCANDARIO INTEGRANDO CAMINHOS
25099116,ECIT PROFESSOR LUIS DE AZEVEDO SOARES
25099124,EEEFM FRANCISCO LEOCADIO RIBEIRO COUTINHO
25099132,EEEF ALINE SILVA MADRUGA
25099159,ECIT ENEAS CARVALHO
25099167,EEEF JOSE MARIANO
25099175,ECIT MARIA HONORINA SANTIAGO
25099183,EEEF ANDRE VIDAL DE NEGREIROS
25099205,EEEF PREFEITO ANTONIO TEIXEIRA
25099221,EMEIF FAZENDA SOCORRO
25099230,EEEF JOAO URSULO
25099248,EEEF MACHADO DE ASSIS
25099256,ECI EEFM MARIA DE LOURDES ARAUJO
25099264,EEEF VARZEA NOVA
25099280,EEEF PROF JOSE VAZ
25099299,EEEFM CARLOS CHAGAS
25099329,EMEF FRANCISCO MARQUES DA FONSECA
25099337,EMEF JAIME LACET
25099345,EMEF ANTONIO FERREIRA NUNES
25099353,EMEF E EJA DR FLAVIO MAROJA FILHO
25099361,EMEIF E EJA PADRE JOAO FELIX MEDEIROS
25099370,EMEF ARNALDO BONIFACIO
25099396,EMEF INDIO PIRAGIBE
25099400,EMEF MONSENHOR RAFAEL DE BARROS
25099434,EMEIF E EJA DR ANTONIO PEREIRA DE ALMEIDA
25099450,EMEF PADRE ANCHIETA
25099469,EMEIF ARNOBIO MAROJA
25099493,EMEIF TIRADENTES
25099507,ENEEFM ANISIO PEREIRA BORGES
25099540,COLEGIO UNIAO
25099566,EMEIF DE ATERRO
25099582,EMEF AMBROSIO FERNANDES BRANDAO
25099671,EMEIF PROFESSOR JOAQUIM TORRES
25099680,EMEIF SANTA EMILIA
25099710,CENTRO EDUCACIONAL ALZIRA LEAL
25099728,EMEIF DEP FLAVIANO RIBEIRO FILHO
25099736,EMEF GOV FLAVIO RIBEIRO
25099779,EMEIF PROFESSORA CANDIDA DE SA ANDRADE
25099787,EMEIF E EJA MANOEL FAUSTINO DE MENDONCA
25099809,EMEF ESTEVAO JOSE CARNEIRO DA CUNHA
25099833,EMEIF E EJA PAULO JORGE RODRIGUES DE LIMA
25099868,INSTITUTO NOSSA SENHORA DE FATIMA LTDA
25099876,INSTITUTO DE EDUCACAO ROSA DE SARON KIDS
25099906,EMEIF SAO MARCUS
25099957,EEEFM DE FORTE VELHO
25099965,EMEIF E EJA AMARO GOMES COUTINHO
25099973,EMEIF ZULMIRA MAUL DE ANDRADE
25099981,EMEIF PADRE PIRES FERREIRA
25099990,EMEIF PROFESSORA EULINA XAVIER
25102923,EDUCANDARIO SOSSEGO DA MAMAE
25108824,EMEIF PRESIDENTE JOAO SUASSUNA
25113208,EMEF E EJA ANIBAL LIMEIRA
25113526,EMEF DR PAULO MAROJA
25116487,EMEIF ZILDA VELOSO FALCAO
25116762,EEEFM LUIZ RIBEIRO LIMEIRA
25116860,EMEIF VOVO VINA
25116886,EMEF PROF CARLOS ARNOBIO MAROJA DI PACE
25117300,EEIF LAPIS NA MAO
25117840,EXATUS COLEGIO E CURSO
25118102,COLEGIO E CURSO JOSE AMERICO DE ALMEDA
25118200,ESCOLA EDUCACIONAL SAO JOSE
25118218,INST EVANG PASTOR ANTONIO PETRONILO DOS SANTOS
25118250,ESC DE EIEF SANTA RITA DE CASSIA
25118374,CENTRO EDUCACIONAL NOVO VIVER - SISTEMA DE ENSINO
25118382,INSTITUTO RISQUE E RABISQUE
25118412,CENTRO EDUCACIONAL CASINHA FELIZ
25119079,EMEIF PROF PAULO FREIRE
25119176,INSTITUTO SANTA ROSA MISTICA
25119184,CENTRO DE ENSINO FORMANDO CIDADAOS
25119206,ESCOLA NOSSO RECANTO
25119214,CENTRO DE EDUCACAO NOSSA SENHORA DE FATIMA
25120727,ESCOLINHA ELAINE CRISTINA
25120786,INSTITUTO EVANGELICO EMANUEL
25121707,CENTRAL DO SABER
25121863,INSTITUTO EDUCACIONAL DOM PEDRO II
25122380,CIEI MARIA ANUNCIADA DE SANTANA
25122940,CIEI LEONOR DE MELO GOMES
25122983,INSTITUTO EDUCACIONAL RECANTO DO APRENDER
25123092,EMEF EMILIA CAVALCANTE DE MORAIS NETA
25123106,EMEF ODILON RIBEIRO COUTINHO
25124102,EMEF DEPUTADO EGIDIO MADRUGA
25124366,ESCOLA CONSTRUIR
25124757,SISTEMA DE ENSINO ROSA DE SARON
25124889,INSTITUTO EDUCACIONAL RUTH ROCHA
25125613,ESCOLA JESUS DE NAZARE
25125940,ESCOLA NOSSA SENHORA APARECIDA
25126270,INSTITUTO EDUCACIONAL PEQUENO APRENDIZ
25126636,CENTRO EDUCACIONAL EMILIA FERREIRO
25126792,EDUCANDARIO VIVA A VIDA
25127454,ARCO-IRIS CENTRO EDUCACIONAL DA CRIANCA
25127462,CENTRO EDUCACIONAL ARCO- IRIS
25127632,EMEIF RITA DE CASSIA DE ALMEIDA MESQUITA
25128221,INSTITUTO EDUCACIONAL EXTASE DO SABER
25128418,ECI HELINTON SANTANA
25128590,IFPB - CAMPUS SANTA RITA
25129074,EDUCANDARIO ROSA DOS VENTOS
25129678,AMARO DA LUZ SERVICOS DE ENSINO LTDA
25129694,CENTRO EDUCACIONAL NOVAS PALAVRAS
25130285,CENTRO EDUCACIONAL PRIMEIROS PASSOS
25130293,SISTEMA DE EDUCACAO FUTURO
25130307,ESCOLA CONSTRUINDO O SABER
25130358,INSTITUTO EDUCACIONAL FUTURO BRILHANTE
25130439,CENTRO EDUCACIONAL ESPACO DO SABER
25130609,ESCOLA CANTINHO DO SABER
25130617,INSTITUTO EDUCACIONAL FORMANDO VIDAS
25130943,INSTITUTO EDUCACIONAL VIVENDO E APRENDENDO
25131427,INSTITUTO EDUCACIONAL CAMINHO DO SABER
25131990,INSTITUTO EDUCACIONAL CAMINHANDO COM JESUS
25132016,INSTITUTO EDUCACIONAL SEMEANDO O FUTURO
25132482,ESCOLA CIVICO MILITAR CAPITAO TOMAZ PANTA
25132768,COLEGIO E CURSO 1ª OPCAO
25132784,ESCOLA ADONAI
25132792,ESCOLA CETEPA KIDS
25132806,ESCOLA EDUCACIONAL GERACAO FUTURA
25132814,ESCOLA MOTIVAR
25133292,CENTRO EDUCACIONAL EMILIA FERREIRO
25133632,CIEI SEVERINA DA SILVA SANTOS
25134183,ESPACO EDUCACIONAL REINO INFANTIL
25134191,COLEGIO E CURSO EVOLUIR
25134205,CEIF LOURDES CALIXTO
25134213,CENTRO DE EDUCACAO CANTINHO DO SABER
25134221,ESCOLA MONTESSORI
25153218,EEEF ODILON RIBEIRO COUTINHO
25155806,CENTRO EDUCACIONAL DA MONICA
25162802,CENTRO DE EDUCACAO PRIMEIRA VITORIA
25183826,COLEGIO MASTER KIDS
25222805,EDUCANDARIO VIVER E APRENDER
25236806,CONSTRUIR SISTEMA DE ENSINO
25238906,CENTRO EDUCACIONAL ESSA MAOZINHA VAI LONGE
25252933,ESCOLA EDUCAR PARA VIDA
25252941,EMEIF PADRE ANTONIO VIEIRA
25253930,EMEF PROFESSOR TARCISIO DE MIRANDA BURITY
25254944,EMEF PROFESSOR GIBSON MAUL DE ANDRADE
25266926,COLEGIO E CURSO JOAO XXIII KIDS - CETCPB
