CO_ENTIDADE,NO_ENTIDADE
24001112,CRECHE SOARES JUNIOR
24001120,C S U ABOLICAO I
24001155,CE INTEGRADA PROF ELISEU VIANA
24001171,CENTRO EDUCACIONAL APRONIANO MARTINS DE OLIVEIRA
24001180,ESCOLA ESTADUAL JERONIMO ROSADO
24001210,CENTRO INFANTIL DOM JAIME CAMARA
24001228,CRECHE CELINA VIANA
24001244,CENTRO SOCIAL URBANO SANTO ANTONIO
24001252,CEJA PROF ALFREDO SIMONETTI
24001260,COLEGIO DIOCESANO SANTA LUZIA
24001279,COLEGIO DOM BOSCO LTDA
24001295,COLEGIO LIRIOS LTDA
24001325,CRECHE ALAIDE DA ESCOSSIA
24001341,CRECHE COMUNITARIA JULIA BORGES
24001350,CRECHE SANTA FERNANDES
24001368,CRECHE COMUNITARIA SANTO ANTONIO
24001406,CRECHE LAGOA DO MATO
24001422,CRECHE LAR DA CRIANCA FELIZ
24001430,ESCOLA ESTADUAL FRANCISCA MARTINS DE SOUZA
24001457,CRECHE NOSSA SRA DOS IMPOSSIVEIS
24001490,CENTRO INAFANTIL SANTA LUZIA
24001511,E ISOLADA DE ARISCO
24001538,EDUCANDARIO FLAUTINHA MAGICA
24001562,ESCOLA ESTADUAL EDUCANDARIO PRESIDENTE KENNEDY - ENSINO FUNDAMENTAL E MEDIO
24001570,EDUCANDARIO MARIA TEREZA DA ROCHA PEREIRA
24001600,ESCOLA ESTADUAL EDUCANDARIO ANTONIO BEZERRA DE SALES
24001643,EDUCANDARIO DALILA GURGEL
24001660,COLEGIO JOSE MOREIRA DA COSTA
24001686,EDUCANDARIO MANOEL TIBURCIO FAGUNDES
24001724,ESCOLA ESTADUAL EDUCANDARIO PROFESSOR PAULO FREIRE
24001759,COLEGIO MARIA AUXILIADORA COSTA
24001775,ESCOLA MUNICIPAL MARINEIDE PEREIRA DA CUNHA
24001791,ESCOLA MUNICIPAL PROFESSOR ANTONIO DA GRACA MACHADO
24001805,ESC EST 13 DE JUNHO ENS 1 GRAU
24001813,ESCOLA ESTADUAL DE TEMPO INTEGRAL AMBULATORIO CARDEAL CAMARA
24001830,ESCOLA ESTADUAL AMBULATORIO PADRE DEHON
24001856,ESCOLA AQUARELA DO SABER
24001864,CENTRO DE ATENDIMENTO ESPECIALIZADO
24001872,ESCOLA ESTADUAL PADRE SATIRO CAVALCANTI DANTAS
24001880,ESCOLA MUNICIPAL ANDRE LUIZ
24001899,ESCOLA ESTADUAL DISNEYLANDIA
24001902,ESCOLA ESTADUAL GILBERTO ROLA
24001910,ESCOLA ESTADUAL JOAO PAULO II
24001929,ESCOLA MUNICIPAL JOSE BENJAMIM
24001945,ESCOLA ESTADUAL ONZIEME ROSADO FERNANDES
24001953,ESCOLA ESTADUAL PROFESSOR HERMOGENES NOGUEIRA DA COSTAENSINO FUNDAMENTAL
24001970,ESCOLA ESTADUAL TERTULIANO AYRES DIAS
24002003,ESC DINAMICA DE ENSINO MODERNO
24002011,ESCOLA ESTADUAL 30 DE SETEMBRO
24002046,ESCOLA ESTADUAL ABOLICAO IV
24002062,ESCOLA ESTADUAL AIDA RAMALHO CORTEZ PEREIRA
24002070,ESCOLA ESTADUAL ALEIXO ROSA DA SILVA
24002097,ESCOLA ESTADUAL ANTONIO GOMES
24002127,ESCOLA ESTADUAL CONEGO ESTEVAM DANTAS
24002151,ESCOLA ESTADUAL CUNHA DA MOTA
24002160,ESCOLA ESTADUAL DOM JAIME CAMARA
24002186,ESCOLA ESTADUAL DOUTOR EWERTON DANTAS CORTEZ
24002208,ESCOLA ESTADUAL DOUTOR LAVOISIER MAIA
24002224,ESCOLA ESTADUAL FRANCISCO ANTONIO MEDEIROS
24002232,ESCOLA ESTADUAL GOV DIXSEPT ROSADO
24002240,ESCOLA ESTADUAL JOSE MARTINS DE VASCONCELOS
24002259,ESCOLA ESTADUAL LUIZ DANTAS CAVALCANTI
24002267,ESCOLA ESTADUAL MANOEL JUSTINIANO DE MELO
24002275,ESCOLA ESTADUAL MONSENHOR FRANCISCO DE SALES CAVALCANTE
24002283,ESCOLA ESTADUAL MONSENHOR RAIMUNDO GURGEL
24002291,ESCOLA ESTADUAL MOREIRA DIAS
24002305,ESCOLA ESTADUAL PADRE ALFREDO
24002330,ESCOLA ESTADUAL PROFESSOR ABEL FREIRE COELHO
24002348,ESCOLA ESTADUAL PROFESSORA ADELIA GOMES DE SOUZA
24002356,ESCOLA ESTADUAL ANTONIO DE SOUZA MACHADO
24002364,ESCOLA ESTADUAL PROFESSOR HERMOGENES NOGUEIRA DA COSTA ENSINO FUNDAMENTAL E MEDIO
24002380,ESCOLA ESTADUAL PROFESSORA INALDA CABRAL
24002399,ESCOLA ESTADUAL PROFESSORA IRACEMA FERNANDES
24002402,ESCOLA ESTADUAL PROFESSOR JOSE DE FREITAS NOBRE
24002410,ESCOLA ESTADUAL PROFESSOR JOSE NOGUEIRA
24002429,ESCOLA ESTADUAL MANOEL JOAO
24002445,ESCOLA ESTADUAL PROFESSORA MARIA STELLA PINHEIRO COSTA
24002453,ESCOLA ESTADUAL PROFESSOR SOLON MOURA
24002470,ESCOLA INFANTIL O PRIMEIRO PASSO
24002488,ESC ISOLADA DE ALAGOINHA
24002496,ESCOLA ISOLADA ESPINHEIRINHO
24002518,ESCOLA MUNICIPAL LIONS MOSSORO CENTRO
24002526,COLEGIO MATER CHRISTI
24002542,ESCOLA MUNICIPAL CHAFARIZ I
24002550,ESCOLA MUNICIPAL FRANCISCO DE ASSIS NOGUEIRA
24002569,ESCOLA MUNICIPAL FRANCISCO FRANCA
24002577,ESCOLA MUNICIPAL CARMELIA DE ALMEIDA
24002593,ESCOLA MUNICIPAL ALCIDES MANOEL DE MEDEIROS
24002615,ESCOLA MUNICIPAL ANTONIO MENDONCA
24002631,ESCOLA MUNICIPAL BENTO JOSE DE FREITAS
24002658,ESCOLA MUNICIPAL HELOISA LEAO DE MOURA
24002674,ESCOLA MUNICIPAL CELINA GUIMARAES VIANA
24002682,ESCOLA MUNICIPAL ELIZEU GOMES DE MELO
24002712,ESCOLA MUNICIPAL FRANCISCO DE ASSIS BATISTA
24002720,ESCOLA MUNICIPAL CORNELIO BARBALHO DE CARVALHO
24002747,ESCOLA MUNICIPAL DINARTE MARIZ
24002755,ESCOLA MUNICIPAL PROFESSORA DOLORES FREIRE DE ANDRADE
24002763,ESCOLA MUNICIPAL DR JOSE GONCALVES
24002780,ESCOLA MUNICIPAL ELEUTERIO COSTA
24002798,ESCOLA MUNICIPAL ELIAS SALEM
24002810,ESCOLA MUNICIPAL FRANCISCO FRANCA MATEUS
24002828,ESCOLA MUNICIPAL FRANCISCO FERREIRA SOUTO
24002836,ESCOLA MUNICIPAL GENILDO MIRANDA
24002852,ESCOLA MUNICIPAL EVILASIO LEAO
24002860,ESCOLA MUNICIPAL JERONIMO ROSADO
24002887,ESCOLA MUNICIPAL JOAQUIM DA SILVEIRA BORGES
24002917,ESCOLA MUNICIPAL JOSE MATEUS DE SOUZA
24002933,ESCOLA MUNICIPAL LUIZ LOURIVAL DE GOES
24002950,ESCOLA MUNICIPAL MANOEL DUNGA DA ROCHA
24002968,ESCOLA MUNICIPAL MANOEL JUSTINO
24002992,ESCOLA MUNICIPAL MONSENHOR MOTA
24003000,ESCOLA MUNICIPAL NONO ROSADO
24003042,ESCOLA MUNICIPAL JOAO NICERAS DE MORAIS
24003050,ESCOLA MUNICIPAL PEDRO FERNANDES RIBEIRO
24003077,ESCOLA MUNICIPAL PIQUIRI II
