CO_ENTIDADE,NO_ENTIDADE
24052051,APAE-ESCOLA DE ENSINO ESPECIAL NOEMI CAMARA
24052060,CENTRO DE EDUC RURAL PROF JOSE TITO JUNIOR
24052078,COLEGIO DE SANTA AGUEDA
24052086,ESCOLA ESTADUAL AUGUSTO XAVIER DE GOIS ENSINO MEDIO EM TEMPO INTEGRAL
24052094,ESCOLA ESTADUAL BARAO DE CEARA MIRIM
24052140,ESCOLA ESTADUAL ENEAS CAVALCANTI
24052159,ESCOLA ESTADUAL GENERAL JOAO VARELA
24052167,ESCOLA ESTADUAL INTERVENTOR UBALDO BEZERRA DE MELO
24052175,ESCOLA ESTADUAL MONSENHOR CELSO CICCO
24052221,EM MANOEL PEREIRA DOS SANTOS
24052248,EM ADELE DE OLIVEIRA
24052256,EM ALCIDES CAMARA DE SOUZA
24052280,EM AUGUSTO XAVIER DE GOIS
24052299,EM BELARMINA CAMPOS
24052302,EM BRASILIANO MARQUES DE ARAUJO
24052310,EM CONCEICAO MARQUES
24052329,EM PROF JOAO GABRIEL DE OLIVEIRA
24052337,EM MARA CABRAL
24052345,EM PEDRO SALOMAO
24052353,EM PROFESSORA MARIA ESTER PAIVA
24052361,EM SEVERINO PINHEIRO DA SILVA
24052370,EM RUY ANTUNES PEREIRA
24052388,EM PROFESSORA ILCA MIRANDA PACHECO
24052396,EM BRASILIANO JERONIMO DA SILVA
24052400,EM PROFª NALVA XAVIER CALVALCANTI
24052418,EM PROFESSORA ALZIRA DE SA PEREIRA
24052426,EM PROFESSORA MARIA BERNADETE BARBOSA
24052434,EM DR AUGUSTO MEIRA
24052450,EM DR JULIO GOMES DE SENNA
24052469,EM EMIDIO FERREIRA DA SILVA
24052477,EM FELIPE CAMARAO
24052485,EM GONCALO MARCELINO
24052493,EM GONCALO TEIXEIRA DA SILVA
24052507,EM HAIDE MONTEIRO
24052515,EM HELENA VILAR RIBEIRO DANTAS
24052531,EM JOAQUIM FERNANDES SOBRAL
24052558,EM JOSE ADELINO
24052566,EM JOSE VENANCIO
24052574,EM MADALENA ANTUNES PEREIRA
24052590,EM MARIO PINHEIRO
24052604,EM VEREADORA MARIA L CAVALCANTE
24052612,EM PEDRO JUSTINO DOS SANTOS
24052620,EM PROFESSOR ANTONIO FERREIRA DA SILVA
24052655,EM ROTARY
24052663,EM SERGIO VARELA SANTIAGO
24052671,EM VIRGILIO LUIZ
24052680,ESCOLA ESTADUAL IMACULADA CONCEICAO
24052698,CEFI - CENTRO DE FORMACAO INTEGRADA - LTDA
24052701,PRE ESCOLAR CENTRO SOCIAL URBANO
24063665,CENTRO DE EDUCACAO INFANTIL VEREADOR RAFAEL FERNANDES SOBRAL
24064076,SOCIEDADE EDUCACIONAL CASA DA TITIA - SECAT
24066389,ESCOLA ESTADUAL PROFESSOR OTTO DE BRITO GUERRA
24066397,SISTEMA DE ENSINO ABC
24066400,ESCOLA MUNICIPAL MARIA ANTONIETA PEREIRA VARELA
24071188,EM EMILIA PETRONILA DA ROCHA
24071196,EM LUCIANO VARELA SOBRAL
24071200,EM MANOEL DANTAS BARRETO
24071668,EM FERDINANDO PEREIRA DO COUTO
24072028,ESCOLA ESTADUAL PROFESSOR EDGAR BARBOSA
24072338,CENTRO DE EDUCACAO INFANTIL MONSENHOR RUI MIRANDA
24072346,CENTRO DE EDUCACAO INFANTIL FRANCISCA LEODETE DA SILVA
24075400,CRECHE COMUNITARIA DE MURIU
24075515,CRECHE MARIA ANTONIETA PEREIRA VARELA
24075523,EM MONSENHOR RUI MIRANDA
24077054,CRECHE MUNICIPAL ALMIRA MELO
24077240,CEI PROFESSORA MARIA DE LOURDES FERREIRA DO NASCIMENTO
24077313,SEFF-SOCIEDADE EDUCATIVA FAMILIA FELIPE LTDA
24077321,CENTRO DE EDUCACAO INFANTIL MARIA ALICE DE BRITO
24077356,CRECHE VARZEA DE DENTRO
