CO_ENTIDADE,NO_ENTIDADE
26019469,ESCOLA MUL JOSE PAULINO DE SIQUEIRA
26019493,ESCOLA DE REFERENCIA EM ENSINO MEDIO SANTA TEREZINHA
26019582,GRUPO ESCOLAR AUGUSTO TIETE DA COSTA
26019590,GRUPO ESCOLAR CONFESSOR GOMES
26019612,GRUPO ESCOLAR JOAO FRANCISCO DOS SANTOS
26019620,GRUPO ESCOLAR JOAO LOPES DA SILVA
26019698,GRUPO ESCOLAR BERNARDO NUNES
26019809,ESCOLA MUL TOBIAS NUNES DE LIRA
26140209,ESCOLA MARIA JOSE DANTAS CAMPOS
26151995,ESCOLA MONICA TAVARES GUIMARAES
26173590,COLEGIO NOVA CONQUISTA
26188376,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARIA HELENA SOARES DE MOURA
26189062,ESCOLA DADIVA DIVINA
