CO_ENTIDADE,NO_ENTIDADE
25092260,ANGLO CENTRO DE EDUCACAO LTDA
25092294,SISTEMA DE ENSINO CONVIVER
25092316,EEEF PROF CONCITA BARROS
25092332,EEEF PROFESSORA DAGMAR MENDONCA LIMEIRA
25092375,CENTRO DE APRENDIZAGEM E DESENVOLVIMENTO INFANTIL
25092448,CENTRO DE ENSINO DECISAO LTDA
25092570,EM PROFESSOR DURMEVAL TRIGUEIRO MENDES
25092588,EMEI JOAO XXIII
25092839,CEEEA SESQUICENTENARIO
25092871,CENTRO PROFIS DEP ANTONIO CABRAL
25092898,EEEFM DE EJA PROF GERALDO LAFAYETTE BEZERRA
25092901,INTERACTIVO CRISTO COLEGIO E CURSOS EIRELI ME
25093037,COLEGIO EVO
25093053,INST EDUC ESTRELA DO MAR
25093061,COLEGIO NOSSA SENHORA DE LOURDES
25093088,COLEGIO MARISTA PIO X
25093096,COLEGIO PIO XI
25093193,CMEI DIOTILIA GUEDES PEREIRA
25093207,CMEI ANTONIO VARANDAS DE CARVALHO
25093215,CMEI ADALGISA VIEIRA
25093231,CMEI CALULA LEITE
25093240,CMEI CUSTODIA NOBREGA
25093258,CMEI FRANCISCO PORTO
25093266,CMEI JOAO TOTA
25093274,CMEI JULIA RAMOS
25093282,CMEI MARGOT TRINDADE
25093312,CMEI GLORIA CUNHA LIMA
25093339,CMEI MARIA JOSE DE MIRANDA BURITY
25093347,CMEI ROBERTO VIEIRA BATISTA
25093355,CMEI RODRIGO MORENO COSTA
25093363,CMEI VERA LUCIA SANTANA NEIVA
25093380,EM PRESIDENTE JOAO PESSOA
25093410,EDUC JUSCELINO KUBITSCHEK DE OLIVEIRA
25093550,COLEGIO EXITTUS
25093576,EDUC SAO MATEUS
25093584,EDUC SANTA CECILIA LTDA
25093614,EEEF PROFA CARMELITA PEREIRA GOMES
25093622,EEEF FRANCISCO CAMPOS
25093665,ESC CENECISTA JOAO REGIS DE AMORIM
25093703,ESCOLA DE EDUCACAO BASICA E PROFISSIONAL FUNDACAO BRADESCO
25093746,EEEF PROF TERCIA BONAVIDES LINS
25093754,CRIA CAPISTRANO DE ABREU
25093819,ESCOLA ESTADUAL DE EDUCACAO ESPECIAL
25093827,EEEF CLAUDINA MANGUEIRA DE MOURA
25093835,ECI LUIS RAMALHO
25093843,ECIT CONEGO FRANCISCO GOMES DE LIMA
25093851,ECI LILIOSA PAIVA LEITE
25093860,ECIT RAUL MACHADO
25093878,EEEM CON LUIZ GONZAGA DE OLIVEIRA
25093886,ECIT FRANCISCA ASCENSAO CUNHA
25093894,ECI EEM PROF PEDRO AUGUSTO PORTO CAMINHA
25093916,ECIT PROFESSOR RAUL CORDULA
25093932,ECIT DAURA SANTIAGO RANGEL
25093959,ECIT OLIVINA OLIVIA CARNEIRO DA CUNHA
25093967,EEEFM PROF MARIA BRONZEADO MACHADO
25093975,ECI NICODEMOS NEVES
25094025,ECI EEFM TENENTE LUCENA
25094033,ECIT MANOEL LISBOA DE MOURA
25094041,EEEF PROFA ARGENTINA PEREIRA GOMES
25094050,ECIT LUIZ GONZAGA DE ALBUQUERQUE BURITY
25094076,EEEM PROF MATHEUS AUGUSTO DE OLIVEIRA
25094084,CRIA CAPITULINA SATYRO
25094106,ECI LUZIA SIMOES BARTOLLINI
25094114,ECIT ALICE CARNEIRO
25094122,CPM ESTUDANTE REBECA CRISTINA ALVES SIMOES
25094130,ECI HORACIO DE ALMEIDA
25094157,EEEFM ESCRITOR JOSE LINS DO REGO
25094173,EEEFM E EJA PADRE MIGUELINHO
25094181,ECI PAPA PAULO VI
25094190,ECIT JOAO GOULART
25094203,ECIT DOM JOSE MARIA PIRES
25094211,ECIT JOSE DO PATROCINIO
25094220,EEEF MARCILIO DIAS
25094254,EEEF PADRE CICERO ROMAO BATISTA
25094262,EEEF PROFESSOR JOAO JOSE DA COSTA
25094270,EEEF PROF MATEUS RIBEIRO
25094297,EEEF AZORCERIZ PIRES FERREIRA
25094319,EEEF PADRE JOAO FELIX
25094327,EEEF ALMIRANTE TAMANDARE
25094335,EEEF ANA HIGINA
25094351,EEEF ANTONIO PESSOA
25094360,EEEF BORGES DA FONSECA
25094378,EEEF CASTRO PINTO
25094386,EEEF CORACAO DIVINO
25094408,EEEFM DES BOTO DE MENEZES
25094416,EEEFM DES BRAZ BARACUHY
25094424,CMEI DOM CARLOS COELHO
25094432,EEEFM DOMINGOS JOSE DA PAIXAO
25094440,EEEFM DR JOAO NAVARRO FILHO
25094459,EEEF DR OTAVIO NOVAIS
25094475,EEEF EPITACIO PESSOA
25094483,EEEF FENELON CAMARA
25094491,EEEF FERNANDES VIEIRA
25094513,EEEF FREI MARTINHO
25094530,EEEF HENRIQUE DIAS
25094556,EEEF ISABEL MARIA DAS NEVES
25094564,EEEF JOAQUIM NABUCO
25094580,EEEF JOSE DE ALENCAR
25094599,EEEF JOSE VIEIRA
25094629,EEEF PROF MARIA GENY DE SOUSA TIMOTEO
25094637,ECIT PEDRO ANISIO BEZERRA DANTAS
25094653,EEEM PROF ORLANDO CAVALCANTI GOMES
25094661,ECI EEFM PEDRO LINS VIEIRA DE MELO
25094670,EEEF PADRE AZEVEDO
