CO_ENTIDADE,NO_ENTIDADE
24055670,EM PROFª IVANIRA DE VASCONCELOS PAISINHO
24055735,CENTRO MUNICIPAL DE EDUCACAO INFANTIL EUGENIA PALHARES
24055743,CRECHE CASULO ILSON SANTOS
24055751,CENTRO INFANTIL MONTE CASTELO
24055760,CENTRO INFANTIL SANTA LUZIA
24055786,ESCOLA ESTADUAL DOUTOR ANTONIO DE SOUZA
24055794,ESCOLA ESTADUAL MARIA CRISTINA
24055808,ESCOLA ESTADUAL PRESIDENTE ROOSEVELT
24055824,ESCOLA ESTADUAL PROFESSOR ANTONIO BASILIO FILHO
24055832,ESCOLA ESTADUAL PROFESSOR APOLINARIO BARBOSA ENSINO MEDIO EM TEMPO INTEGRAL
24055840,ESCOLA ESTADUAL PROFESSOR ELIAH MAIA DO REGO
24055859,ESCOLA ESTADUAL SANTOS DUMONT
24055867,ESCOLA ESTADUAL PROFESSORA MARIA ARAUJO
24055883,EM ALZELINA DE SENA VALENCA
24055891,EM CICERO DE SOUZA MELO
24055913,EM DR OTAVIO TAVARES
24055930,EM DR SADI MENDES SOBREIRA
24055948,EM PROF EULINA AUGUSTA DE ALMEIDA
24055964,EM JORN EXPEDITO SILVA ENS DE 1 G
24055972,EM PROF JUSSIER SANTOS
24055980,EM MANOEL MACHADO ENS DE 1 GRAU
24055999,EM NOSSA SRA DA GUIA
24056006,EM OSMUNDO FARIA ENS DE 1 GRAU
24056022,EM PRESIDENTE ARTUR DA COSTA E SILVA
24056030,EM PROF ANTONIO BASILIO FILHO
24056049,EM PROF ENEDINA E DO NASCIMENTO
24056065,EM PROF FRANCISCA BEZERRA DE SOUZA
24056073,EM PROF FRANCISCA F DA ROCHA
24056090,EM PROF HOMERO DE OLIVEIRA DANTAS
24056111,EM PROFª IRENE SOARES DA SILVA
24056120,EM PROFESSORA IRIS DE ALMEIDA MATOS
24056146,EM PROF JOANA ALVES ENS DE 1 GRAU
24056162,ESCOLA MUNICIPAL PROFESSOR LIMIRIO CARDOSO DAVILA
24056170,EM PROF LUZANIRA MARIA DA COSTA CRUZ
24056189,EM PROFª FRANCISCA C A BATISTA
