CO_ENTIDADE,NO_ENTIDADE
25060295,EMEF JOSE PEREIRA DA CRUZ
25060317,EMEF DR EVANDRO SOARES
25060325,COL MONTEIRO LOBATO
25060333,CRECHE ADELIA ARAUJO DE MELO
25060368,EDUCANDARIO SEDE DO SABER
25060376,ECIT ALFREDO PESSOA DE LIMA
25060384,EEEFM CELSO CIRNE
25060392,EEEF PE GERALDO DA S PINTO
25060406,EEEFM ARLINDO RAMALHO
25060422,EMEF MINISTRO JOSE AMERICO ALMEIDA
25060449,ESC MUL GOIANA
25060457,ESC MUL MARIA GERALDA DA SILVA
25060490,ESC MUL CAPIVARA II
25060538,ESC MUL DE CAPOEIRA
25060562,ESCOLINHA ENCONTRO DA ALEGRIA
25060570,GR MUL ABEL CORREA DE MELO
25060597,EMEF JOAO FILGUEIRA
25060600,GR MUL PIO CAVALCANTE DE MELO
25060635,EMEF ADELAIDE GRACINDO
25060643,UNIDADE ESCOLAR JOAO SOARES DA COSTA
25060651,EMEF ERNESTINA PINTO
25060660,EMEF FRANCISCO FERREIRA DA ROCHA
25060678,EMEF INACIO ANTONIO MANCO
25060694,GR MUL JOSE TEODOSIO DOS SANTOS
25060708,GR MUL MANOEL PEREIRA DE LIMA
25060716,EMEF MANUEL TEODOSIO DA COSTA
25060724,EMEF PE IBIAPINA
25060732,EMEF PROFESSOR FRANCISCO PINTO
25060740,GR MUL SACO DOS CAMPOS
25060759,JD DE INFANCIA LOBINHO
25060767,EMEF PROFª TELMA DA SILVA
25060783,UNID 1 GR ENEAS EPITACIO DA SILVA
25060791,UNID 1 GR LUIZ SOARES DE LIMA
25060805,EMEF AMANCIO FERREIRA DE GOIS
25060848,EMEF MANOEL BARBOSA FRANCO
25060864,EMEF ANTONIO DA COSTA SOUTO
25060880,UNID ESC DE 1 GR SABINO MACENA DA SILVA
25060899,UNID ESC DE 1 GR SEGISMUNDO G P JUNIOR
25060902,EMEF SEBASTIANA DE OLIVEIRA BRAGA
25060910,EMEF FRANCISCO PEDRO DA SILVA
25060929,EMEF SANTIAGO CHIANCA
25060937,EMEF SONIA ELIANE
25060945,UNID ESC DE 1 GR DE FAZ CAPIVARA
25060953,EMEF JOSE FERNANDES DE SANTANA
25060970,UNID ESC 1GR SAO LUIS
25103115,CRECHE PADRE GERALDO
25105400,EMEF DE LAGOA DO MATO
25105426,ESC MUL CAPIVARA DE BAIXO
25107526,ESCOLINHA PINOQUIO
25107534,CENTRO EDUCACIONAL CANTINHO DA ALEGRIA
25107569,ESCOLINHA DISNEYLANDIA
25112147,EMEF MANOEL SATURNINO DA COSTA
25116533,CRECHE CASA DA CRIANCA PE IBIAPINA
25118820,EMEF JOSE MENINO DE OLIVEIRA
25126130,CENTRO EDUCACIONAL PINTANDO O 7
25129643,INSTITUTO EDUCACIONAL ADONAI
25134000,COLEGIO SANTO ANTONIO
25134159,EDUCANDARIO PEQUENO POLEGAR
