CO_ENTIDADE,NO_ENTIDADE
26078368,ESCOLA MUL ANASTACIO FERREIRA DA SILVA
26078384,ESCOLA MUL CIRILO TORRES GALINDO
26078392,ESCOLA MUN ELOY FERREIRA DE ARAUJO
26078406,ESCOLA MUL JANDIRA PEDROSA
26078414,ESCOLA MUNICIPAL JOSE GONCALVES DE MELO
26078449,ESCOLA MUL LINDOLFO ALVES DE LIRA
26078465,ESCOLA MUL MANOEL RODRIGUES DE CARVALHO
26078473,ESC MUL MARIA SALETE NOBREGA CAVALCANTE
26078503,ESCOLA MUNICIPAL PE JOSE MONTEIRO
26078511,ESCOLA MUL ALAIDE ALVES DUARTE
26078520,ESCOLA MUNICIPAL ANTONIO VAZ DE ALMEIDA
26078538,ESCOLA MUN ALFREDO ALVES DA SILVA
26078554,ESC MUN ANTONIO G DE MELO
26078562,ESCOLA DE REFERENCIA EM ENSINO MEDIO ABILIO MONTEIRO
26078589,ESC MUN JACINTO PEREIRA MACHADO
26078597,ESCOLA MUN MANOEL VIEIRA DE ANDRADE
26078600,ESC MUN CORONEL JOSE ALVES SOBRINHO
26078619,ESCOLA MUN 25 DE MARCO
26078627,ESCOLA MUNICIPAL BENTO FERREIRA DA SILVA
26078635,ESCOLA MUNICIPAL DAGMAR JOSE MONTEIRO
26078643,ESCOLA MUN JOSE SEBASTIAO ALVES DE LIMA
26078651,ESCOLA MUNICIPAL LOURECO LINO DOS REIS
26078660,ESCOLA MUN MANOEL FERREIRA DA SILVA
26078678,ESC INTERM PETRONILIA ALVES DE CARVALHO
26078694,ESCOLA MUL INT APOLINARIO DANTAS TEIXEIRA
26078716,ESC MUN FRANCISCO ALVES BASILIO
26135859,ESCOLA MUNICIPAL JOSE VERAS ALVES
26135860,ESCOLA MUL MANOEL FERREIRA DE ARAUJO
26169169,CRECHE MUNICIPAL MARIA DOS SANTOS FERREIRA
26180189,EDUCANDARIO NOVO MILENIO
26185555,ESCOLA APRENDER A CRESCER
26186802,CRECHE MUL GOV MIGUEL ARRAES DE ALENCAR
26189275,CRECHE MUNICIPAL EMILIA OLINDINA MONTEIRO
