CO_ENTIDADE,NO_ENTIDADE
26111837,ESCOLA MUNICIPAL DE 1º GRAU PADRE EDMUND KLEIPOOL
26111853,ESCOLA ARTUR MENDONCA
26111870,ESCOLA DE REFERENCIA EM ENSINO MEDIO CARDEAL DOM JAIME CAMARA
26111888,COLEGIO DISNEYLANDIA
26111900,COLEGIO IMACULADA CONCEICAO
26111926,ESCOLA DE REFERENCIA EM ENSINO MEDIO MARIA DO CEU BANDEIRA
26111942,ESCOLA MUNICIPAL JORNALISTA EDSON REGIS
26111950,ESCOLA MUNICIPAL ARGEMIRO NEPOMUCENO
26111969,COLEGIO MUNICIPAL BALTAZAR MORENO
26111977,ESCOLA MUNICIPAL DE 1º GRAU 5 DE JULHO
26111985,ESCOLA MUNICIPAL DE 1º GRAU DO ENGENHO PINTO - MARIA DO CARMO ARCOVERDE
26111993,ESCOLA MUNICIPAL DE 1º GRAU DO ENGENHO SERRARIA BR
26112051,ESCOLA MUNICIPAL AUREA DA CUNHA E SOUSA
26112060,ESCOLA MUNICIPAL DE 1º GRAU DO ENGENHO JARDIM
26112086,ESCOLA MUNICIPAL DE 1º GRAU DO ENGENHO TIMBO
26112108,ESCOLA DE REFERENCIA EM ENSINO MEDIO SOFRONIO PORTELA
26112132,ESCOLA MUNICIPAL DE 1º GRAU DO ENGENHO UNA
26112183,ESCOLA MUNICIPAL DE 1º GRAU DO ENGENHO CUMARU
26112221,ESCOLA AMOR E TRABALHO
26112302,ESCOLA MUNICIPAL GERSON CARNEIRO DA SILVA
26112329,ESCOLA MUNICIPAL ASSEMBLEIA DE DEUS
26112345,ESCOLA MUNICIPAL OTONIEL LOPES
26112353,ESCOLA MUNICIPAL DE 1º GRAU DO ENGENHO CANZANZA
26112361,ESCOLA MUNICIPAL ENGENHO CONTRA ACUDE
26112396,ESCOLA MUNICIPAL DE 1º GRAU DO ENGENHO JUSSARA
26112426,ESCOLA MUNICIPAL 1º GRAU SEVY ROCHA
26112485,ESCOLA MUNICIPAL PROFESSORA JOSEFA ALVES DA SILVA
26112493,ESCOLA MUNICIPAL PROFESSORA NOEMI GUERRA
26138107,ESCOLA MUNICIPAL PROFESSORA AUTA DE FRANCA LINS
26138816,ESCOLA HEROIS INFANTIS
26145111,ESCOLA MUNICIPAL WILSON BERNARDINO DE ARRUDA
26147645,ESCOLA RECANTO INFANTIL
26147653,COLEGIO E CURSO ARCO LTDA
26167352,EDUCANDARIO TIAS SUELI E GILDA
26177374,ESCOLA ATIVA
26185970,SESI MORENO
26191741,COLEGIO FORTISSIMUS
26210002,ESCOLA ESSENCIA DO SABER
26229609,ESCOLA MUNICIPAL PROFESSORA MARIA HERACLIDES CARNEIRO CAMPELO
26239612,ESCOLA TIA JOELMA
26269600,CENTRO COMUNITARIO CRIANCA FELIZ
26270617,CENTRO COMUNITARIO MARIA GONZAGA
26272601,CENTRO COMUNITARIO XINGU
26299607,CRECHE COMUNITARIA SAO SEBASTIAO
26409747,ESCOLA RITA DE CASSIA MORENO LTDA
26410710,ESCOLA RAIO DE LUZ
26410729,EDUCANDARIO NOSSA SENHORA DE FATIMA
26412721,CENTRO ESCOLAR CASINHA FELIZ
26413728,INSTITUTO EDUCACIONAL SOUZA LEAO
26413850,EDUCANDARIO DINAMICA
26415712,EDUCANDARIO UNIAO
26417715,ESCOLA CASTELO ENCANTADO
26448726,EDUCANDARIO SANTA TEREZINHA
26461757,CENTRO EDUCACIONAL CHRYSTIAN EMANUEL
