CO_ENTIDADE,NO_ENTIDADE
25070703,CAIC JOSE JOFILLY
25070711,CRECHE CASA DA CRIANCA DR JOAO MOURA
25070720,EMEF CEAI GOV ANTONIO MARIZ
25070789,EMEF CEAI DR ELPIDIO DE ALMEIDA
25070835,CENTRO EDUC BANDEIRANTES
25071009,CIE CENTRO INTERATIVO DE ENSINO LTDA
25071068,COLEGIO DJANIRA TAVARES
25071106,COLEGIO IMACULADA CONCEICAO
25071122,COLEGIO PADRE ANCHIETA LTDA
25071157,CRECHE MUNICIPAL IZAURA GOMES DE FARIAS
25071165,CRECHE MUNICIPAL AMENAIDE SANTOS
25071173,CRECHE MUNICIPAL ANA PAULA
25071181,CRECHE MUNICIPAL ANITA CABRAL
25071190,CRECHE MUNICIPAL BEATRIZ HAMAD GOMES
25071203,CRECHE MUNICIPAL COTINHA CARVALHO
25071211,CRECHE MUNICIPAL ELZA ALMEIDA
25071220,CRECHE MUNICIPAL FELIX ARAUJO
25071238,CRECHE MUNICIPAL NILA DUNDA
25071246,CRECHE MUNICIPAL KARINE DA SILVA
25071254,CRECHE MUNICIPAL LENISE MEDEIROS
25071262,CRECHE MUNICIPAL LOURDES LOUREIRO
25071289,CRECHE MUNICIPAL BERCARIO MARIA AMELIA
25071297,CRECHE MUNICIPAL MARIA CECI
25071319,CRECHE MUNICIPAL MARIA TEREZA NEPOMUCENO
25071327,CRECHE MUNICIPAL NENZINHA CUNHA LIMA
25071335,CRECHE MUNICIPAL SEVERINO CABRAL
25071343,CRECHE MUNICIPAL SINHAZINHA CELINO
25071351,CRECHE MUNICIPAL SORAYA MAGNOLIA
25071360,CRECHE MUNICIPAL TEREZA GIOIA
25071378,CRECHE MUNICIPAL VANIA FIGUEIREDO
25071386,CRECHE MUNICIPAL ZEFERINA GAUDENCIO
25071394,EEEFM MONSENHOR SALES
25071416,COLEGIO MODELO TRADICAO LTDA ME
25071440,EDUCANDARIO DANTAS LTDA
25071491,COLEGIO ROSA MISTICA
25071513,COLEGIO WALFREDO SIQUEIRA LUNA
25071521,FRIDESTILMA DA SILVA SANTOS
25071564,ESCOLA AQUARELA
25071580,ESCOLA ARCO IRIS DO SABER
25071696,INST EDUC SANTA RITA DE CASSIA
25071840,ESCOLA FUNDAMENTAL MARIA LOPES BARBOSA
25071858,MARIA DE LOURDES SARAIVA DO NASCIMENTO
25071866,ESCOLA DE 1O GRAU PETRONIO FIGUEIREDO LTDA
25071882,ESCOLA DE 1 GRAU SANTO ONOFRE LTDA - ME
25071904,ESCOLA ESPACO CRIADOR
25071939,ECI EEFM AUDIOCOMUNICACAO DE CAMPINA GRANDE DEMOSTENES CUNHA LIMA
25072005,EEEFM ADEMAR VELOSO SILVEIRA
25072013,ECIT ESTADUAL PROFESSOR RAUL CORDULA
25072021,EEEFM SEN ARGEMIRO DE FIGUEIREDO
25072030,ECI NENZINHA CUNHA LIMA
25072056,EEEFM POETA CARLOS DRUMOND DE ANDRADE
25072064,EEEF MARIA AUGUSTA LUCENA BRITO
25072080,EEEFM NINA ALVES DE LIMA
25072099,ECI ASSIS CHATEAUBRIAND
25072102,ECI DEPUTADO ALVARO GALDENCIO DE QUEIROZ
25072110,ECI FELIX ARAUJO
25072129,EEEFM SAO SEBASTIAO
25072137,ECIT ANESIO LEAO
25072145,EEEFM DOM LUIZ GONZAGA FERNANDES
25072153,ECIT SEVERINO CABRAL
25072161,EEEF NOSSA SENHORA DO ROSARIO
25072170,EMEF ADV OTAVIO AMORIM
25072196,EEEF ANTONIO VICENTE
25072200,EEEF AUGUSTO DOS ANJOS
25072218,EEEFM CLEMENTINO PROCOPIO
25072226,EEEF DE APLICACAO
25072234,EEEFM DE MONTE SANTO
25072242,EEEFM JOSE PINHEIRO
25072277,ECI MONTE CARMELO
25072285,EEEFM MURILO BRAGA
25072293,EEEFM NOSSA SENHORA APARECIDA
25072307,ECI SOLON DE LUCENA
25072315,EEEF SANTO ANTONIO
25072340,EEEF ALCEU DO AMOROSO LIMA
25072374,EEEF MARIA EMILIA OLIVEIRA DE ALMEIDA
25072404,EEEFM RUBENS DUTRA II
25072412,ECI ESCRITOR VIRGINIUS DA GAMA E MELO
25072420,ECIT ELPIDIO DE ALMEIDA
25072439,ECI HORTENCIO SOUSA RIBEIRO PREMEN
25072552,EMEF DR CHATEAUBRIAND
25072609,COLEGIO AUTENTICO LTDA
25072676,ESCOLA MUNDO ENCANTADO
25072684,ESC MUNDO INFANTIL
25072692,ENE PE EMIDIO VIANA CORREIA
25072820,EMEF ROTARY DR FRANCISCO BRASILEIRO
25072870,ESCOLA SANTA TEREZINHA
25072889,ESCOLA SANTO ANTONIO 1
25072919,EMEF SEMENTE DE LUZ
25072927,ESCOLA SONHO E REALIDADE
25072935,ESCOLINHA SONHO ENCANTADO
25073214,COLEGIO NOSSA SENHORA DE LOURDES
25073567,EMEF AGEU GENUINO DA SILVA
25073575,EMEF AMARO DA COSTA BARROS
25073613,ESCOLA MUNICIPAL DR JOSE TAVARES
25073630,EMEF FERNANDO CUNHA LIMA
25073648,EMEF FREI DAGOBERTO STUCKER
25073656,EMEF GERIVALDO LUNA DE OLIVEIRA
25073664,EMEF JOSE GUILHERMINO BARBOSA
25073699,EMEF LAFAYETE CAVALCANTE
25073710,EMEF LUCIA DE FATIMA GAYOSO MEIRA
25073729,EMEF LUIZ CAMBEBA
25073737,EMEF LUIZ JOAQUIM AVELINO
25073745,EMEF MANOEL DA COSTA CIRNE
25073761,EMEF MARIA DA LUZ
25073770,ESCOLA MUNICIPAL MARIA JOSE DE CARVALHO DE SOUSA
25073800,EMEF PADRE ANTONINO
25073826,EMEF PROF FRANCISCA ZENA BRASILEIRO
25073842,EMEF PROFA MARIA ANUNCIADA BEZERRA
25073850,EMEF RAIMUNDO ASFORA
25073877,EMEF RIVANILDO SANDRO ARCOVERDE
25073885,EMEF SANTO AFONSO
25073907,EMEF SEVERINO D DO NASCIMENTO
25073958,EMEF PROF JOSE DE ALMEIDA JUNIOR
25073982,EMEF ALICE GAUDENCIO
25074024,EMEF ALMEIDA BARRETO
25074032,EMEF ALMIRA DE OLIVEIRA
25074059,EMEF ANA AZEVEDO
25074075,EMEF ANESIO LEAO
25074091,EMEF ANIS TIMANI
25074113,EMEF ANISIO TEIXEIRA
25074148,EMEF APOLONIA AMORIM
25074164,EMEF AROLDO CRUZ FILHO
25074172,EMEF CENTENARIO
25074199,EMEF CICERO VIRGINIO
25074229,EMEF CRISTINA PROCOPIO
25074245,EMEF DEP PETRONIO FIGUEREDO
25074288,EMEF DR SEVERINO CRUZ
25074296,EMEF EPITACIO PESSOA
25074326,EMEF FELIX ARAUJO
25074369,EMEF GRACITA MELO
25074377,EMEF GUSTAVO ADOLFO CANDIDO ALVES
25074393,EMEF HELENO HENRIQUES
25074407,EMEF HENRIQUE G BARBOSA
25074482,EMEF JOSE VIRGINIO DE LIMA
25074512,EMEF JOSELITA BRASILEIRO
25074547,EMEF LILIOSA BARRETO
25074563,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LINDOLFO MONTENEGRO
25074571,EMEF LIONS PRATA
25074580,EMEF LUIS GOMES DA SILVA
25074610,EMEF MANOEL SABINO DE FARIAS
25074636,EMEF MARECHAL CANDIDO RONDON
25074644,EMEF MARIA CANDIDA DE OLIVEIRA
25074695,EMEF MARIA MINERVINA FIGUEIREDO
25074717,EMEF MARIINHA BORBOREMA
25074733,EMEF MELO LEITAO
25074741,EMEF MONSENHOR SALES
25074776,EMEF PADRE CORNELIO BOER
25074792,EMEF PE EMIDIO VIANA CORREIA
25074806,EMEF POETA ALVARO G PINHEIRO
25074814,EMEF PRESIDENTE KENNEDY
25074903,EMEF PROFESSORA NELY DE LIMA E MELO
25074920,EMEF PROF SELMA AGRA VILARIM
25074938,EMEF PROFA LUZIA DANTAS
25074962,EMEF SANDRA CAVALCANTI
25075020,EMEF STELLITA CRUZ
25075047,EMEF SANTO ANTONIO 2
25075071,EMEF TIRADENTES
25075080,INSTITUTO ANA NERY
25075110,INSTITUTO DE ALFABETIZACAO CAMILO DE LELLIS
25075136,INST CASTELINHO INFANTIL
25075179,IPEN- INST DE PEDAGOGIA NATURAL LTDA
25075209,INST EDUC JOAO PAULO II
25075225,MARIELZA DA SILVA - ME
25075233,INST EDUC NEPOMUCENO
25075284,INST LINS VASCONCELOS
25075314,INSTITUTO MODERNO SANTA MONICA
25075403,COLEGIO SANTA ANA LTDA
25075462,EMEF DEZENOVE DE MARCO
25075500,INST GENTE CRESCENDO
25075551,INST SANTO ANTONIO
25075594,INST CRIANCA ESPERANCA
