CO_ENTIDADE,NO_ENTIDADE
25078542,CRECHE FILISMINA GONCALVES DE QUEIROZ
25078550,ECI PLINIO LEMOS
25078569,EEEF SEVERIANO PEDRO DO NASCIMENTO
25078577,EEEFM CONEGO ANTONIO GALDINO
25078607,ESC MUL MARIZETE RAPOSO NASCIMENTO
25078615,GR ESC ALVARO GAUDENCIO FILHO
25078666,GR ESC MUL DE LAGOA DE DENTRO
25078674,ESC MUL MARIA JOSE GOMES DE MELO
25078682,GR ESC QUINTINO LEONCIO
25078712,ESC MUL GREGORIO ALBERTO DANTAS
25078720,GR ESC CICERO GONCALVES DOS SANTOS
25078747,ESC MUNICIPAL JOSE INACIO DA SILVA
25078763,ESC MUL POLONORDESTE MALICIA
25078771,GR ESC FIRMINO GALDINO PEREIRA
25078801,GR ESC JOAO VICENTE DE ARAUJO
25078925,GR ESC PRES COSTA E SILVA
25078933,ESM MUL ISIDRO JOAQUIM DO SANTOS
25111205,ESC TEC AGRICOLA JOAQUIM L DE QUEIROZ
