CO_ENTIDADE,NO_ENTIDADE
27031063,ESCOLA ESTADUAL NOSSA SENHORA DA APRESENTACAO
27031217,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DE BOA UNIAO
27031225,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL VEREADOR JOSE IRONILTON COSTA DE ARAUJO
27031233,ESCOLA MUNICIPAL DE FERRAO
27031268,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DE SOLIDADE
27031276,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL HENRIQUE DIAS
27031306,ESC MUNICIPAL DE ENSINO FUNDAMENTAL AMARO MANOEL DO NASCIMENTO
27031349,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SANTA TEREZINHA
27031365,ESCOLA ESTADUAL PROFESSOR GUEDES DE MIRANDA
27031403,EMEF ALCEBIADES BUARQUE CAVALCANTE
27031411,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL EDGAR ANTUNES
27031420,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL BENEDITO DE GUSMAO BARBOSA
27031446,EMEF DOM PEDRO I
27031454,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DOM ADELMO MACHADO
27031462,EMEF JOSE PIMENTEL PRADO
27031470,EMEF MANOEL FERREIRA DE BARROS
27031489,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL PEDRO VALERIANO
27031500,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL SECUNDINA ALVES PRADO
27031543,EMEF BERNARDO SOBRINHO E ANEXOS
27031578,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL MARCOS II
27031616,ESCOLA MUINICIPAL DE ENSINO FUNDAMENTAL JOAO MORAES
27031624,EMEF LAMENHA FILHO
27031640,EMEF NOSSA SENHORA DA CONCEICAO E ANEXOS
27031683,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL CANTINHO FELIZ
27049590,CEI SOLAR DA CRIANCA
27050068,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO MARIA DO CARMO CEDRIM
27051200,COLEGIO DBS
27054020,CENTRO DE ATENDIMENTO EDUCACIONAL ESPECIALIZADO ANA SALDANHA LINS LEAO
27216144,EMEF DOMINGOS FERNANDES CALABAR
27219593,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL LOMBA
27221725,EMEF NIVALDO NUNES DE MOURA E ANEXOS
27221741,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL DE ORIENTE
27221750,EMEF DE CANAAN
27221776,EMEF DEPUTADA CECI CUNHA
27226565,ESCOLA DE EDUCACAO BASICA EVOLUCAO LTDA
27227030,CRECHE ESCOLA VOVO DO CARMO
27343014,ESCOLA MUNICIPAL DE ATIVIDADE COMPLEMENTAR DO PETI PORTO CALVO
27345017,ESCOLA MUNICIPAL DE ATIVIDADE COMPLEMENTAR DO PETI DA USINA SANTA MARIA
