CO_ENTIDADE,NO_ENTIDADE
26102552,ESCOLA DE REFERENCIA EM ENSINO MEDIO JOAO LOPES DE SIQUEIRA SANTOS
26102560,ESCOLA MUNICIPAL NANIE DE SIQUEIRA SANTOS
26102609,EDUCANDARIO SANTA TEREZINHA
26102617,COLEGIO SAO JOSE
26102633,ESCOLA DE REFERENCIA EM ENSINO MEDIO PADRE AMERICO NOVAIS
26102668,ESCOLA MUNICIPAL SONIA LUSTOSA
26102730,ESCOLA MUNICIPAL SANTA TEREZA
26102803,ESCOLA MUNICIPAL LUIZ GONZAGA CAJUEIRO
26102811,ESCOLA MUNICIPAL MARIA DULCE DE BARROS E SILVA
26102820,ESCOLA MUNICIPAL HENRIQUE DE BARROS E SILVA
26102846,ESCOLA MUNICIPAL MANASSES CORREIA BRASIL
26102854,ESCOLA MUNICIPAL CORONEL JOSE ERNESTO PEREIRA LIMA
26102862,ESCOLA MUNICIPAL DEOMEDES FERREIRA DE MELO
26102870,ESCOLA MUNICIPAL DR CAETANO MONTEIRO
26102889,ESCOLA MUNICIPAL DR CLOVIS LAPA
26102897,ESCOLA MUNICIPAL FRANCISCA ESTRELIANA
26102919,ESCOLA MUNICIPAL INISE UCHOA
26102927,ESCOLA MUNICIPAL JOAQUIM NABUCO
26102935,ESCOLA MUNICIPAL JOSE SINFRONIO FERREIRA
26102943,ESCOLA MUNICIPAL MANOEL ALVES DA SILVA
26102960,ESCOLA MUNICIPAL PRESIDENTE JOAO GOULART
26102978,ESCOLA MUNICIPAL DR MARIO DE QUEIROZ MONTEIRO
26102986,ESCOLA MUNICIPAL DE RAINHA DOS ANJOS
26102994,ESCOLA MUNICIPAL JOSE MUCIO MONTEIRO
26103028,ESCOLA MUNICIPAL SANTA ROSALIA
26103044,ESCOLA MUNICIPAL PRESIDENTE TANCREDO NEVES
26103052,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO JOAQUIM NABUCO
26103079,ESCOLA MUNICIPAL AGOSTINHO DE ARAUJO LIMA
26103087,ESCOLA MUNICIPAL PROGRESSO
26103095,ESCOLA MUNICIPAL NOSSA SENHORA DE FATIMA
26133431,ESCOLA MUNICIPAL ALVARO ARGENO CARNEIRO LEAO
26133449,ESCOLA MUNICIPAL VALDIJANE RITA DE OLIVEIRA
26144042,COLEGIO ANGELINA DO MONTE
26144085,EPG NOVA GERACAO
26144212,ESCOLA MUNICIPAL MARIA JOSE DOURADO MONTEIRO
26145987,EDUCANDARIO PARAISO DA CRIANCA
26154471,EDUCANDARIO MARIA KAROLINE
26154714,ESCOLA MUNICIPAL ERMINIO FELIX DOS SANTOS
26154927,ESCOLA MUNICIPAL SAO JOSE
26154935,ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS
26158078,ESCOLA MUNICIPAL JOAO PEDRO DOS SANTOS
26167204,CENTRO EDUCACIONAL SONHO INFANTIL
26167220,EDUCANDARIO CRIANCA ESPERANCA
26167239,EDUCANDARIO CRESCER
26176092,EDUCANDARIO MARIA AUGUSTA
26176114,ESCOLA PASTOR MANOEL FILADELFO
26185490,COLEGIO CONSTRUIR
26187361,COLEGIO E CURSO REAL
26229625,EDUCANDARIO MENINO DEUS
26232618,CENTRO EDUCACIONAL PINTANDO O SETE
26254603,EDUCANDARIO PEQUENO PRINCIPE
26255600,CENTRO EDUCACIONAL AMIGUINHOS DO ABC
26341611,EDUCANDARIO SAO MATEUS
