CO_ENTIDADE,NO_ENTIDADE
24030104,UNIDADE VII FRANCISCO NETO DE MACEDO ENS FUND
24030112,UNIDADE X RITA LUIZA DA CONCEICAO
24030228,UNIDADE III LAURO MIRANDA DE ASSUNCAO
24030287,UNIDADE IX MANOEL HIPOLITO DANTAS ENS FUND
24030384,UNIDADE VI SAO DANIEL ENSINO FUNDAMENTAL
24030619,EM JOSE MARIA DO NASCIMENTO ENSINO FUNDAMENTAL
24030864,EM MANOEL CATARINO FILHO ENSINO FUNDAMENTAL
24070211,ESCOLA ESTADUAL SERVULO PEREIRA DE ARAUJO
24070246,CRECHE E PRE ESCOLA TIA NEUMAN
24075647,UNIDADE VIII ANTONIO MIRANDA DE ASSUNCAO ENS FUND
