CO_ENTIDADE,NO_ENTIDADE
24003972,ESCOLA ESTADUAL PADRE JOSE DE ANCHIETA
24004006,EE PE JOSE DE ANCHIETA ENS 1 GRAU - AL
24004014,EE PE JOSE DE ANCHIETA ENS 1 GRAU -AM
24004022,EE PE JOSE DE ANCHIETA ENS 1 GRAU - BA
24004030,EE PE JOSE DE ANCHIETA ENS 1 GRAU - CE
24004049,EE PE JOSE DE ANCHIETA ENS 1 GRAU - ES
24004065,EE PE JOSE DE ANCHIETA ENS 1 GRAU - GB
24004073,EE PE JOSE DE ANCHIETA ENS 1 GRAU - MA
24004081,EE PE JOSE DE ANCHIETA ENS 1 GRAU - MT
24004090,EE PE JOSE DE ANCHIETA ENS 1 GRAU - MG
24004103,EE PE JOSE DE ANCHIETA ENS 1 GRAU - PA
24004111,EE PE JOSE DE ANCHIETA ENS 1 GRAU - PB
24004120,EE PE JOSE DE ANCHIETA 1 GRAU - PR
24004138,EE PE JOSE DE ANCHIETA ENS 1 GRAU - PE
24004146,EE PE JOSE DE ANCHIETA ENS 1 GRAU - PI
24004154,EE PE JOSE DE ANCHIETA ENS 1 GRAU - RS
24004162,EE PE JOSE DE ANCHIETA ENS 1 GRAU - SP
24004170,EE PE JOSE DE ANCHIETA ENS 1 GRAU - SE
24004189,EE PE JOSE DE ANCHIETA ENS 1 GRAU - SC
24004197,EE FAMILIA AGRICOLA DA SERRA DO MEL
24066346,EE PE JOSE DE ANCHIETA - GO
24067180,E M VILA SERGIPE
24067199,E M VILA PERNAMBUCO
24067202,ESCOLA MUNICIPAL VILA MARANHAO
24067210,E M VILA RIO GRANDE DO NORTE
24067229,ESCOLA MUNICIPAL VILA SANTA CATARINA
24067237,ESCOLA MUNICIPAL VILA RIO GRANDE DO SUL
24067245,ESCOLA MUNICIPAL VILA PIAUI
24067253,E M VILA PARANA
24067261,E M VILA ALAGOAS
24067270,ESCOLA MUNICIPAL VILA AMAZONAS
24067288,E M VILA BAHIA
24067296,ESCOLA MUNICIPAL VILA PARAIBA
24067300,E M VILA ESPIRITO SANTO
24067318,E M VILA GUANABARA
24067326,ESCOLA MUNICIPAL VILA CEARA
24067334,EM VILA GOIAS
24067342,E M VILA SAO PAULO
24067350,E M VILA MATO GROSSO
24067369,ESCOLA MUNICIPAL VILA PARA
24067377,ESCOLA MUNICIPAL VILA MINAS GERAIS
24067385,ESCOLA MUNICIPAL VILA ACRE
24067393,ESCOLA MUNICIPAL VILA RIO DE JANEIRO
24067733,EE PADRE JOSE DE ANCHIETA - AC
24067741,EE PADRE JOSE DE ANCHIETA - RJ
24084867,CRECHE DEJAINE KARLA DA SILVA
24088420,MASTER COLEGIO E CURSO
24236209,UNIVERSO DA APRENDIZAGEM PARA O FUTURO-UAFEZCS
