CO_ENTIDADE,NO_ENTIDADE
26091593,CENTRO EDUCACIONAL MARIA EMILIA DUTRA FERREIRA LIMA
26091607,CENTRO EDUCACIONAL ANILKA LTDA
26091615,COLEGIO CENECISTA RODOLFO FERREIRA LIMA
26091623,ESCOLA TIMBAUBENSE
26091631,ESCOLA BERNARDO VIEIRA DE MELO
26091658,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL CLOVIS SALGADO
26091666,ESCOLA DR JOAO FERREIRA LIMA
26091674,ESCOLA ENGº MARIO DE QUEIROZ GALVAO
26091682,ESCOLA FERREIRA LIMA FILHO
26091704,ESCOLA DE 1º GRAU DR ANTONIO GALVAO CAVALCANTI
26091712,ESCOLA IRMA ALBERTINA JUNQUEIRA SMIDT
26091720,ESCOLA DE REFERENCIA EM ENSINO MEDIO JORNALISTA JADER DE ANDRADE
26091763,ESCOLA MANOEL FERREIRA DA COSTA AZEVEDO
26091771,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL MARIANA FERREIRA LIMA
26091810,ESCOLA ALAIDE MUNIZ DIAS
26091828,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR JOSE MENDES DA SILVA
26091836,ESCOLA PROFESSORA ELISABETH LYRA
26091852,ESCOLA SANTA MARIA
26091879,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL ANA EUFRASIA CABRAL DE MOURA
26091887,ESCOLA MUNICIPAL DOM BOSCO
26091909,ESCOLA MUNICIPAL JOAO FELICIANO DIAS
26091925,ESCOLA PROFESSOR JOAO ROBERTO MOREIRA
26091933,ESCOLA MUN PROFESSORA DULCE RODRIGUES
26091984,OBRA SOCIAL SANTA MARIA - OSSAM
26091992,ESCOLA CRISTO REDENTOR
26092018,CIES FERNANDO ANDRADE DE QUEIROZ
26092034,ESCOLA CORONEL JOAO DE ANDRADE
26092042,ESCOLA CORONEL MANUEL CAETANO
26092077,ESCOLA MUNICIPAL LEAO XIII
26092190,ESCOLA FRANCISCA GONCALVES DA SILVA
26092239,ESCOLA MUNICIPAL TEREZINHA DE JESUS
26092255,GRUPO MUNICIPAL JOSE MOACIR FILHO
26137369,ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA
26141620,ESCOLA IDEAL
26158892,ESCOLA DE MOCOS
26169983,ESCOLA CARROSSEL
26170027,ESCOLA MUNICIPAL ESTRELA DO CAMPO
26172925,ESCOLA EM TEMPO INTEGRAL MARIA EMILIA VASCONCELOS
26175649,ESCOLA ELVIRA DE ALBUQUERQUE MARANHAO
26178176,ESCOLA DE REFERENCIA EM ENSINO MEDIO DE TIMBAUBA PROFESSOR ANTONIO JOSE BARBOZA DOS SANTOS
26178796,CRECHE MAE RAINHA
26179687,ESCOLA SANTA JOANA
26181487,CENTRO EDUCACIONAL RITA SOARES DA SILVA
26190419,COLEGIO SANTA TEREZINHA
26191369,JOERLLYS SERGIO DA SILVA ONLY CURSOS TECNICOS
26327619,ESCOLA CRECHE EMILIA CAVALCANTI DE MORAIS NETA
26525810,ESCOLA TECNICA ESTADUAL MIGUEL ARRAES DE ALENCAR
