CO_ENTIDADE,NO_ENTIDADE
24050571,EM DEPUTADO MARCIO MARINHO
24050580,EM DOM ALAIR VILAR
24050628,EM FAZ SAO FRANCISCO
24050644,EM JERONIMO DE CASTRO
24050652,EM JOANA DE SOUZA RIBEIRO
24050717,EM PROFESSOR ZACARIAS GOMES
24050733,EM SEVERINO LEMOS
24065820,ESCOLA MUNICIPAL ANA DE PAIVA FAGUNDES
24066630,EM LUIZA DA COSTA E SILVA
24066877,EM MANOEL CAVALCANTE DO NASCIMENTO
24080829,ESCOLA ESTADUAL GOVERNADOR LAVOISIER MAIA SOBRINHO
24083135,CRECHE MUNICIPAL PEQUENO CURUMIM
24085588,CRESCER COLEGIO E CURSO
24087173,CENTRO EDUCACIONAL DECOLAR
24087416,ESCOLA ESTADUAL DOM EUGENIO SALES DE ENSINO MEDIO
24088870,ESCOLA ALEGRIA DE SABER
24089176,ACCORDE - ASSOCIACAO COMUNITARIA CORDEIRO DE DEUS
24205206,EM MARIA PAIVA E SILVA
24206202,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS - SCFV
