CO_ENTIDADE,NO_ENTIDADE
24033260,ESCOLA ESTADUAL MONSENHOR WALFREDO GURGEL
24033278,ESCOLA MUL DE ENS FUND MONS WALFREDO GURGEL
24033367,ESC MUL DE ENSINO FUND PE FCO R FERNANDES
24033413,ESC MUL SIMPLICIA P DE LIMA
24033430,ESC MUL DESEMBARGADOR ADAUTO MAIA
24033456,ESC MUNICIPAL JOAQUIM PEREIRA MONTEIRO
24033537,ESC MUL FRANCISCO FAUSTINO DE QUEIROZ
24033545,ESC MUL STA TEREZINHA
24033553,ESC MUL JOSE AVELINO DOS SANTOS
24033561,ESC MUNICIPAL LUIZ CONRADO DE MEDEIROS
24033588,ESC MUL ISAIAS LOPES DE ARAUJO
24033596,ESC MUL PERGENTINO ALVES
24068470,ESC MUL PROF SEVERINO RAMOS DE ANDRADE
24079278,CRECHE E PRE-ESCOLAR MUNICIPAL ANA DANTAS DE MEDEIROS
24081043,ESC EST MONS WALFREDO GURGEL ANEXO I
24291307,CENTRO DE ATIVIDADE COMPLEMENTAR - PETI
