CO_ENTIDADE,NO_ENTIDADE
24025976,ESCOLA MUNICIPAL SAO SEBASTIAO
24026026,ESCOLA ESTADUAL GODOFREDO CACHO
24026042,ESCOLA MUNICIPAL PROFESSORA MARIA SEVERINA DOS SANTOS
24026050,ESCOLA MUNICIPAL MAE DE LOURDES
24026069,ESCOLA MUNICIPAL PROFESSOR CAZUZA
24026077,ESCOLA MUNICIPAL EMMANOEL BEZERRA DOS SANTOS
24070866,JARDIM ESCOLA CAIXINHA DO SABER
24072257,CRECHE CRIANCA FELIZ
24081361,CENTRO DE ATIVIDADES COMPLEMENTAR - CRIANCA CIDADA CAICARA DO NORTE
24085219,CENTRO EDUCACIONAL CRESCENDO E APRENDENDO
24089990,JARDIM ESCOLA LAPIS DE COR
24090379,JARDIM ESCOLA CANTINHO DO SABER
