CO_ENTIDADE,NO_ENTIDADE
26107651,ESCOLA DE REFERENCIA EM ENSINO FUNDAMENTAL E MEDIO MARIA DA CONCEICAO DO REGO BARROS LACERDA
26110504,COLEGIO ASCENSO FERREIRA
26117541,ESCOLA CRIATIVA
26117576,ESCOLA MUNICIPAL ANTONIO FARIAS FILHO
26117584,APOIO GRUPO DE ASSES EDUCAC E PEDAGOGICA
26117673,CENTRO DE DESENVOLVIMENTO DA CRIANCA
26117711,ESCOLA TECNICA SENAI SANTO AMARO
26117797,CENTRO EDUCACIONAL ANTONIO GALDINO
26117800,CENTRO EDUCACIONAL ROSA DOS VENTOS
26117827,CENTRO EDUCACIONAL TIRADENTES
26117835,CENTRO EDUCACIONAL VIVER E PENSAR LTDA
26117894,CENTRO SUVAG DE PERNAMBUCO
26117908,CENTRO EDUCACIONAL DO RECIFE
26117916,CENTRO DE EDUCACAO DE JOVENS E ADULTOS POETA JOAQUIM CARDOZO
26117975,COLEGIO ANCHIETA
26117991,COLEGIO BOA VIAGEM LTDA
26118041,COLEGIO ISRAELITA MOYSES CHVARTS
26118050,COLEGIO MONTE LIBANO
26118084,COLEGIO SAO MATEUS LTDA
26118114,COLEGIO WALT DISNEY
26118149,COLEGIO DA IMACULADA CONCEICAO
26118165,COLEGIO EQUIPE
26118181,GERACAO COLEGIO E CURSO
26118190,COLEGIO HENRIQUE DIAS
26118211,COLEGIO E CURSO MICKEYLANDIA
26118262,COLEGIO VISAO
26118270,COLEGIO MARIA TEREZA
26118327,EDUCANDARIO NOSSA SENHORA DE FATIMA
26118360,EDUCANDARIO ANITA GARIBALDI
26118378,COLEGIO EXPOR A MENTE
26118424,EDUCANDARIO MARIA IMACULADA
26118432,EDUCANDARIO NOSSA SENHORA DE FATIMA
26118483,EDUCANDARIO SAO JOSE
26118645,ESCOLA BEM-ME-QUER - FALCAO CENTRO CULTURAL LTDA
26118661,ESCOLA PAROQUIAL SANTA LUZIA ENS FUND E MEDIO
26118670,ESCOLA MUNICIPAL DOS COELHOS
26118696,ESCOLA CORUJINHA
26118700,ESCOLA CRESCER
26118734,ESCOLA MUNICIPAL MONTEIRO LOBATO
26118742,ESCOLA DE REFERENCIA EM ENSINO MEDIO SENADOR PAULO PESSOA GUERRA
26118955,ESCOLA MUNICIPAL JULIO VICENTE ALVES DE ARAUJO
26118963,ESCOLA LUIS ALVES
26119129,ESCOLA MUNICIPAL DE DOIS RIOS
26119145,ESCOLA MUNICIPAL DOS REMEDIOS
26119170,ESCOLA MUNICIPAL SENADOR JOSE ERMIRIO DE MORAES
26119196,ESCOLA MUNICIPAL TRES CARNEIROS
26119200,ESCOLA MUNICIPAL ZUMBI DOS PALMARES
26119218,ESCOLA MUNICIPAL DA IPUTINGA
26119242,ESCOLA O PEQUENOTE
26119269,COLEGIO MADRE TERESA DE CALCUTA
26119293,ESCOLA PASTOR MUNGUBA SOBRINHO
26119331,ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA
26119471,ESCOLA RELUZIR
26119617,ESCOLA MUNICIPAL GENERAL SAN MARTIN
26119641,ESCOLA MUNICIPAL DOUTOR RODOLFO AURELIANO
26119650,ESCOLA ABELHINHA
26119706,ESCOLA CONSTRUIR BRINCANDO
26119714,ESCOLA CORACAO DE MARIA
26119730,ESCOLA DE APLICACAO DO RECIFE
26119862,ESCOLA IRMA DULCE
26119889,COLEGIO JOAO PAULO
26119897,ESCOLA MUNICIPAL JOAO XXIII
