CO_ENTIDADE,NO_ENTIDADE
26015617,COLEGIO MUNICIPAL LOURIVAL ANTONIO SIMOES
26015625,ESCOLA DE REFERENCIA EM ENSINO MEDIO ANTONIO GOMES DE LIMA
26015692,ESCOLA MUL CONSUL GERAL BERNHARD KALSCHEUER
26015722,ESCOLA MUNICIPAL JOSE ELIZEU DO NASCIMENTO
26015765,ESCOLA MUL POVOADO ROCAS VELHAS
26015773,ESCOLA MUL VEREADOR JOAO BATISTA NETO
26015781,GE MUL SR JOSE JOAQUIM DO NASCIMENTO
26015820,ESCOLA MUNICIPAL SITIO SALGADA I
26015854,ESCOLA MUNICIPAL ANTONIO MATEUS DA SILVA
26015935,ESCOLA MUL SR EPONINO PERREIRA DE LIMA
26015951,GRUPO MUL SITIO ALTO DE PEDRAS
26015978,ESCOLA MUL SR JOSE BENTO DE AQUINO
26015994,ESCOLA MUNICIPAL POVOADO TAMBORIL
26151790,ESCOLA MUL CONSUL JOAO ALIXANDRE NETO
26164469,ESCOLA MUNICIPAL SITIO CALDEIRAO DOS BOIS
26178710,CRECHE COMUNITARIA ELVIRA CORDEIRO DE SIQUEIRA
26466716,ESCOLINHA CAMINHANDO PARA O FUTURO
