CO_ENTIDADE,NO_ENTIDADE
27001393,ESCOLA MUNICIPAL DE EDUCACAO BASICA NOSSA SENHORA DO ROSARIO
27001407,ESCOLA ESTADUAL RUBENS NUNES DE OLIVEIRA
27001415,ESCOLA MUNICIPAL DE EDUCACAO BASICA ANTONIO FLORENCIO
27001482,ESCOLA MUNICIPAL DE EDUCACAO BASICA GRACILIANO RAMOS
27001539,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE DE ALENCAR
27001555,ESCOLA MUNICIPAL DE ENSINO FUNDAMENTAL NOSSA SENHORA APARECIDA
27001580,ESCOLA MUNICIPAL DE EDUCACAO BASICA PRINCESA IZABEL
27001652,ESCOLA MUNICIPAL DE EDUCACAO BASICA SAO VICENTE
27001717,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL INACIO DA SILVA
27001725,ESCOLA MUNICIPAL DE EDUCACAO BASICA LUIZ CELSO MALTA BRANDAO
27001750,ESCOLA ESTADUAL DE ENSINO MEDIO NEZINHO PEREIRA
27001776,ESCOLA MUNICIPAL DE EDUCACAO BASICA ANTONIO VIEIRA BARROS
27001784,ESCOLA MUNICIPAL DE EDUCACAO BASICA ARNON DE MELO
27001806,ESCOLA MUNICIPAL DE EDUCACAO BASICA DO TABULEIRO
27001814,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAO CALMON
27001830,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOSE FLORENTINO VILAR
27001849,ESCOLA MUNICIPAL DE EDUACAO BASICA PRESIDENTE MEDICI
27001865,ESCOLA MUNICIPAL DE EDUCACAO BASICA SENADOR RUI PALMEIRA
27001873,ESCOLA MUNICIPAL DE EDUCACAO BASICA DEPUTADO ERALDO MALTA BRANDAO
27001890,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAQUIM ROSENDO EVANGELISTA
27001903,ESCOLA MUNICIPAL DE EDUCACAO BASICA AMBROSIO DE MARIA
27001946,ESCOLA MUNICIPAL DE EDUCACAO BASICA JOAQUIM VIEIRA RAMOS
27001962,ESCOLA MUNICIPAL DE EDUCACAO BASICA DEUSDEDITH MALTA BRANDAO
27001970,ESCOLA MUNICIPAL DE EDUCACAO BASICA BASICA GENTIL MALTA
27052460,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFESSORA MARIA DA SILVA BRANDAO
27054241,CENTRO DE EDUCACAO INFANTIL PAULO ROBERTO MALTA BRANDAO
27054594,CENTRO EDUCACIONAL DE EDUCACAO INFANTIL ODALEIA DANIEL DE SOUZA
27054667,CENTRO EDUCACIONAL DE EDUCACAO INFANTIL HORACIO FERREIRA GOMES
27219402,ESCOLA MUNICIPAL DE EDUCACAO BASICA URBANO MALTA FILHO
27220184,ESCOLA MUNICIPAL DE EDUCACAO BASICA LUIZ CELSO MALTA BRANDAO
27230562,ESCOLA INDIGENA ANCELMO BISPO DE SOUZA
27356027,ESCOLA DE EDUCACAO BASICA TINDOLELE
