CO_ENTIDADE,NO_ENTIDADE
24013285,EDUCACAO INFANTIL ANTONIO FERNANDES DE SOUZA
24013293,ESC EST ADOLFO FERNANDES ENS 1 GRAU
24013307,ESCOLA ESTADUAL CID ROSADO
24013340,ESCOLA MUNICIPAL ERASMO APOLONIO
24013382,UNIDADE ESCOLAR ANTONIO PEREIRA DA SILVA
24013404,ESC MUL GONCALO DA SILVA CHAVES
24013420,UNIDADE DE ENSINO V JOSE OLIVEIRA
24013439,ESC MUL JOSE QUERINO DE QUEIROZ
24013455,UNIDADE DE ENSINO VIII MANOEL FERNANDES
24013463,ESCOLA MUNICIPAL MANOEL JOAQUIM DA SILVA
24013471,UNIDADE IV MANOEL OLIVEIRA
24013498,UNIDADE DE ENSINO IX OTAVIANO SEVERIANO
24013528,ESC MUL VICENTE JOSE DE QUEIROZ
24073490,ESCOLA MUNICIPAL MARIA PEREIRA LEITE
24085669,ESCOLA MUNICIPAL MARIA LUCENY DA SILVA SOUZA
24088560,ESCOLA MUNICIPAL PROFESSORA FRANCISCA DE ASSIS FERNANDES
24225207,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULO
