CO_ENTIDADE,NO_ENTIDADE
26080117,ESCOLA MUNICIPAL JOAQUIM CLEMENTE DA ROCHA
26080125,ESCOLA MUNICIPAL JOSEFA ALVES DE SIQUEIRA
26080141,ESCOLA MUNICIPAL MANOEL ALVES DA SILVA
26080150,ESCOLA MUNICIPAL MANOEL LUIZ DE MELO
26080168,ESCOLA MUNICIPAL MARIA ROSA DA PAIXAO
26080176,ESCOLA MUNICIPAL ANTONIO PINTO DE VASCONCELOS
26080184,ESCOLA MUNICIPAL CAMILO VIEIRA DE LIMA
26080192,ESCOLA MUNICIPAL ELIAS JOSE DA COSTA
26080206,ESCOLA MUNICIPAL FILADELFO DE NORONHA BRANCO
26080214,ESCOLA MUNICIPAL FIRMINO BASTOS DO REGO MELO
26080222,ESCOLA MUNICIPAL FRANCISCO PINHEIRO DA COSTA
26080230,ESCOLA MUNICIPAL JACO PEREIRA
26080249,ESCOLA MUNICIPAL JOAO LUIS RODRIGUES
26080257,ESCOLA MUNICIPAL JOAO LUIZ DE MELO
26080265,ESCOLA MUNICIPAL JOAO SOARES DE MELO
26080273,ESCOLA MUNICIPAL JOSE LUIS RODRIGUES
26080281,ESCOLA MUNICIPAL JULIO FLORENTINO ALVES
26080290,ESCOLA MUNICIPAL LOURENCO PELO DE MELO
26080303,ESCOLA MUNICIPAL MANOEL AMORIM
26080311,ESCOLA MUNICIPAL MANOEL BARBOSA DA SILVA
26080320,ESCOLA MUNICIPAL MANOEL FLORENTINO ALVES
26080338,ESCOLA MUNICIPAL MANOEL PEREIRA DE MELO
26080346,ESCOLA MUNICIPAL MANOEL VICENTE DA SILVA
26080354,ESCOLA MUNICIPAL MINIMA SAO SERAFIM
26080370,ESCOLA MUNICIPAL RICARDO ALVES DA SILVA
26080389,ESCOLA MUNICIPAL RODRIGUES LEAO DE SIQUEIRA
26080400,ESCOLA MUNICIPAL SAO LUIZ
26080419,ESCOLA MUNICIPAL SAO SEBASTIAO
26080427,ESCOLA MUNICIPAL SAO VICENTE
26080435,ESCOLA MUNICIPAL TERTULINO DE SIQUEIRA
26080443,ESCOLA MUNICIPAL VALE DO CATIMBAU
26080451,ESCOLA MUNICIPAL VICENTE ALVES DE BARROS
26080478,ESCOLA MUNICIPAL VITRUVIO PINTO TEIXEIRA
26080494,ESCOLA MUNICIPAL JACINTO FRANCISCO DA SILVA
26080516,ESCOLA DE REFERENCIA EM ENSINO MEDIO MONSENHOR JOAO MARQUES
26080532,ESCOLA MUNICIPAL ANTONIO PEREIRA DA SILVA
26080559,ESCOLA MUNICIPAL EMIDIO RAMOS DE ARAUJO
26080575,ESCOLA MUNICIPAL FRANCISCO ROMANO DE QUEIROZ
26080591,ESCOLA MUNICIPAL JULIO SOARES DE SOUZA
26080605,ESCOLA MUNICIPAL MONSENHOR ALFREDO DAMASO
26080613,ESCOLA MUNICIPAL NOSSA SENHORA APARECIDA
26080621,ESCOLA MUNICIPAL SEBASTIAO PAES DE MELO
26080630,ESCOLA MUNICIPAL AGOSTINHO JOSE DE MELO
26138158,ESCOLA MUNICIPAL ANTONIO CLEMENTINO DE ALMEIDA
26139332,ESCOLA INTERMEDIARIA MANOEL TIAGO MENDES
26144484,ESCOLA MUNICIPAL AUGUSTO PEREIRA DA SILVA
26144654,ESCOLA MUNICIPAL TERTULIANO LUDUGERO DA SILVA
26144662,CRECHE DAGMAR TENORIO ALVES
26169150,EDUCANDARIO IRMA DULCE
26181398,EDUCANDARIO SANTA MONICA
26182599,CENTRO DE EDUCACAO INFANTIL CAMINHOS DO SABER
26547716,ESCOLA DA PUXUZINHA
