CO_ENTIDADE,NO_ENTIDADE
27013162,ESCOLA MUNICIPAL DE EDUCACAO BASICA NOSSA SENHORA DO PERPETUO SOCORRO
27013189,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL MILITAO RAMOS
27013260,ESCOLA MUNICIPAL DE EDUCACAO BASICA LEOPOLDINA DE OLIVEIRA MESSIAS
27013308,ESCOLA MUNICIPAL DE EDUCACAO BASICA MIGUEL VICENTE DA SILVA
27013316,ESCOLA MUNICIPAL DE EDUCACAO BASICA AMANCIO RODRIGUES RAMOS
27013375,ESCOLA MUNICIPAL DE EDUCACAO BASICA ANTONIO BONFIM
27013391,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I
27013413,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROFª EURIDES COSTA
27013456,ESCOLA MUNICIPAL DE EDUCACAO BASICA MANOEL PEREIRA DA GAMA
27013464,PRE- ESCOLAR MARIA JOSE CALHEIROS
27013472,PRE- ESCOLAR PROF JOSE MEDEIROS
27013480,ESCOLA MUNICIPAL DE EDUCACAO BASICA PROF ALAIDE LOPES BARBOSA
27214133,CRECHE CASULO MARIA PAES DE BRITO
