CO_ENTIDADE,NO_ENTIDADE
27013499,ESCOLA MUNICIPAL PROFº ORLANDO LINS
27013545,ESCOLA MUNICIPAL ABEL DE OLIVEIRA NASCIMENTO
27013596,ESCOLA MUNICIPAL PAULO JOSE BRANDAO
27013618,ESCOLA MUNICIPAL AUREA BARBOSA CABRAL DE MELO
27013626,ESCOLA MUNICIPAL GUEDES DE MIRANDA
27013650,ESCOLA MUNICIPAL JOSE BERNARDO VIEIRA
27013669,ESCOLA MUNICIPAL ROLDAO SAMPAIO DE SOUZA
27013685,ESCOLA MUNICIPAL JOSE GUEDES DE ATAIDE
27224805,CRECHE NOSSA SENHORA DA CONCEICAO
27224902,ESCOLA MUNICIPAL DE EDUCACAO INFANTIL MARIA ODETE LOPES DE ALMEIDA
