CO_ENTIDADE,NO_ENTIDADE
24019240,ESC MUL ANTONIO CARVALHO DE OLIVEIRA
24019259,UNIDADE DE ENSINO JOSE MAIA DA COSTA
24019267,ESC MUL JOSE MARIANO
24019275,UNIDADE DE ENSINO IZIDRO JOSE DE OLIVEIRA
24019283,UNID DE ENS AGOSTINHO VENTURA DA SILVA
24019291,ESC MUL STA LUZIA
24019305,ESC MUL TORROES
24072036,UNIVERSIDADE INFANTIL PEDRO MARIA DA COSTA
24072044,UNIDADE DE ENSINO SILVINO FRANCISCO DA COSTA
24072052,EDUCACAO INFANTIL CINDERELA
24083836,ESCOLA MUNICIPAL OZEIAS BATISTA
24191205,SERVICO DE CONVIVENCIA E FORTALECIMENTO
