CO_ENTIDADE,NO_ENTIDADE
25080008,GR ESC MIMOSA DIAS
25080040,GRUPO ESCOLAR ANTONIO BENTO DA SILVA
25080059,GR ESC DEP PLINIO LEMOS
25080075,GR ESC OLINTO GONCALVES DA ROCHA
25080083,GR ESC SEVERINO BERNARDO MARINHO
25080091,GR ESC MANOEL AIRES CORREIA
25080121,GR ESC EDUARDO MEDEIROS
25080130,GR ESC FREI BENJAMIM
25080148,GR ESC GERSON TAVARES
25080164,GR ESC JOAQUIM C DE ALBUQUERQUE
25080172,GR ESC JOSE LINS DO REGO
25080199,GR ESC PE JOAO BATISTA
25080202,GR ESC PEDRO CALIXTO DE A GRANJA
25080210,GR ESC PRES VARGAS
25080229,GR ESC SENADOR RUY CARNEIRO
25080237,GR ESC SEVERINO AIRES CORREIA
25080245,GR ESC SEVERINO REGES
25122177,CRECHE SANTINHO
