CO_ENTIDADE,NO_ENTIDADE
25067176,EMEIEF SAO JOSE V
25067222,EMEIEF AFONSO ASTROGILDO DE PAULA
25067257,EMEIEF NOSSA SRª DA LUZ
25067265,EMEIEF PROFª ELVIRA SILVEIRA DA COSTA
25067303,EMEIEF DE SUSPIRO
25067311,EMEIEF LUIZ ALEXANDRINO DA SILVA
25067338,EMEIEF DE SERRARIA
25067346,EMEIEF DE CAICARINHA
25067354,EMEIEF DE MUFUMBO
25067370,EMEIEF FRANCISCA LEITE BRAGA
25067435,EMEF ALICE DE MELO VIANA
25067443,EMEIEF CLAUDIO CANTALICE VIANA
25101683,CRECHE PRE-ESCOLA LUCILA RAMALHO
25101690,CRECHE PRE ESCOLAR FORMOZINA MARIA DA CONCEICAO
25107470,EMEIEF DE LAGOA DO CURIMATAU
25116088,EMEF ANITA DE MELO BARBOSA LIMA
