CO_ENTIDADE,NO_ENTIDADE
24052728,CENTRO EDUCACIONAL PRE ESCOLAR LUIZ DA CAMARA CASCUDO
24052736,CRECHE PROFESSORA MARLIETE FREIRE DE MACEDO
24052744,CENTRO DE ED MUL PEDRO GOMES DE SOUZA
24052752,CENTRO DE ED R ALFREDO MESQUITA FILHO CERU
24052809,CRECHE MUNICIPAL INFANCIA FELIZ
24052825,ESCOLA MUNICIPAL SANTA ISABEL
24052841,CRECHE MUNICIPAL DAMIANA FRANCA RODRIGUES
24052876,EDUCANDARIO VENERA DANTAS DE MEDEIROS
24053090,EM ANTONIO CASSIANO DA COSTA
24053104,EM AUTA DE SOUZA
24053112,ESCOLA MUNICIPAL DAYSE HALL
24053139,EM DES VIRGILIO PACHECO DANTAS
24053147,EM DR ALFREDO LIRA
24053163,EM ELVIRO XAVIER DE SOUZA
24053180,ESC MUL FABRICIO GOMES PEDROZA
24053201,EM FRANCISCA FERREIRA DA SILVA
24053210,EM FRANCISCO GENIVAL DA SILVA
24053236,EM IOLANDA CHAVES LUCENA
24053244,ESC MUL JESSE PINTO FREIRE
24053260,ESC MUL JOSE PINHEIRO BORGES
24053279,EM ANTONIA MARINHO
24053287,ESC MUL LUIS CURCIO MARINHO
24053295,ESC MUL LUIZ GABRIEL DA COSTA
24053309,EM MANOEL DUARTE FILHO
24053317,EM MANOEL SIMPLICIO DE ARAUJO
24053333,EM NAIR DE ANDRADE MESQUITA
24053350,EM PE JOAO MARIA
24053368,EM PROF BARTOLOMEU FAGUNDES
24053376,EM PROF JOAO FAUSTINO
24053384,ESCOLA MUNICIPAL PROF SEVERINO BEZERRA
24053392,EM PROFESSORA ANITA ALVES MACIEL
24053406,E M PROFESSORA NAZARE MADRUGA
24053414,EM SAO JOSE
24053422,EM SANTA LUZIA CAJAZEIRAS
24053430,E M SANTA LUZIA CAPOEIRAS
24053449,EM TEREZA BRITO DO NASCIMENTO
24053457,ESC MUL WALDEMAR DIOGENES PEIXOTO
24053481,EM JOSE MESQUITA
24053511,EM TANCREDO NEVES
24053546,ESCOLA MUNICIPAL AUGUSTO SEVERO
24053708,EM FRANCISCO FALCAO FREIRE
24064084,EM SEVERINO FIRME DOS SANTOS
24064130,ESC MUNICIPAL RODOLFO HELINSKI
24073644,E M MANOEL LUIZ DE ARAUJO
24076716,EM JOSE ARINALDO ALVES
24081329,ESCOLA DE MUSICA DE MACAIBA
24081345,ESCOLA MUNICIPAL MARIA DO CARMO SILVA
24082783,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS - PETI
24086754,CENTRO MUNICIPAL DE EDUCACAO INFANTIL PROFESSORA EUNICE EUGENIA DE ARAUJO COSTA
24088358,CRECHE INFANTIL ENEDINA AUGUSTA BEZERRA
24089885,CRECHE MUNICIPAL GETULIO GARCIA DA NOBREGA
