CO_ENTIDADE,NO_ENTIDADE
26001926,COLEGIO MUNICIPAL ANTONIA LOCIO DA CRUZ
26001977,ESCOLA MUL DOZE DE JUNHO
26001985,ESCOLA MUL ANTONIO PEREIRA LIMA
26001993,ESCOLA MUL CASTELO BRANCO
26002035,ESCOLA MUL DUARTE DA COSTA
26002051,ESCOLA MUL ELIZEU MANOEL DA CRUZ
26002108,ESCOLA MUL JOHN KENNEDY
26002132,ESCOLA MUL JOSE FERREIRA LIMA
26002175,ESCOLA MUL MANOEL LINO BRANDAO
26002205,ESCOLA MUL MEM DE SA
26002213,ESCOLA MUL MENINO JESUS DE PRAGA
26002230,ESCOLA MUL NEURISVA RAMOS
26002299,ESCOLA MUNICIPAL SANTA IZABEL
26002302,ESCOLA MUL SAO JOSE I
26002337,ESCOLA MUL SEBASTIAO MARQUES DE OLIVEIRA
26002345,ESCOLA MUL SEVERINO FRANCISCO DOS SANTOS
26002353,ESCOLA MUL THEODOZIO LEANDRO HORAS
26002388,ESCOLA MUL CLAUDIO LEANDRO HORAS
26002426,ESCOLA MUL ODIVAL NARCISO AGRA
26002434,ESCOLA MUL ECA DE QUEIROZ
26002485,ESCOLA MUL ALMIRANTE BARROSO
26002507,ESCOLA MUL ANTONIO ALVES DE MEDEIROS
26002515,ESCOLA MUL ANTONIO BEZERRA DA ROCHA
26002531,ESCOLA MUL ANTONIO GONCALVES DA SILVA
26002558,ESCOLA MUL BRASILIA
26002574,ESCOLA MUL DOMINGOS BENVINDO DE OLIVEIRA
26002604,ESCOLA MUL FRANCISCA NELI GOMES
26002612,ESCOLA MUL GUANABARA
26002620,ESCOLA MUL JERUSALEM
26002639,ESCOLA MUL JOAO BATISTA DE SOUZA
26002647,ESCOLA MUL JOAO FERREIRA DA SILVA
26002655,ESCOLA MUL JOAO GOMES DE SOUZA
26002671,ESCOLA MUL LUIZ PEDRO DA SILVA
26002680,ESCOLA MUL LOURIVAL RODRIGUES DE ALENCAR
26002698,ESCOLA MUL MONTE PASCOAL
26002701,ESCOLA MUL MURILO MENDES
26002736,ESCOLA MUL OLAVO BILAC
26002744,ESCOLA MUL OTACILIO RODRIGUES DO NASCIMENTO
26002760,ESCOLA MUL PADRE ANTONIO VIEIRA
26002809,ESCOLA MUL SANTA BARBARA
26002817,ESCOLA MUL SANTA BRIGIDA
26002841,ESCOLA MUNICIPAL ANTONIO CUSTODIO
26002850,ESCOLA MUL CASSIMIRO DE ABREU
26002876,ESCOLA MUL DUARTE COELHO PEREIRA
26002892,ESCOLA MUL GETULIO VARGAS
26002906,ESCOLA MUL GONCALVES DIAS
26002930,ESCOLA MUL JOANA ANGELICA
26002965,ESCOLA MUL SAO FRANCISCO
26003007,ESCOLA MUL WILSON LACERDA
26003015,ESCOLA MUL ZENOBIO DA COSTA
26144255,ESCOLA MUL SANTA CATARINA
26144271,ESCOLA MUL SAO SEBASTIAO
26145669,ESCOLA MUL DO AGRESTE
26146606,CRECHE ALZIRINHA
26151812,ESCOLA MUL FRANCISCO JOSE DE OLIVEIRA
26151855,ESCOLA MUL VICENTE PEDRO DE SOUZA
26151871,ESCOLA MUL ANTONIO JOSE DE LIMA
26176327,ESCOLA MUNICIPAL ANTONIO CLEMENTINO COSTA
26183862,CENTRO DE EDUCACAO INFANTIL DORINA FERRAZ GOMINHO BISPO
