CO_ENTIDADE,NO_ENTIDADE
25056778,COL MUL MONSENHOR STANISLAU
25056840,GR ESC JOAO CARDOSO DE MELO
25056867,GR ESC LADISLAU DE ALBUQUERQUE MELO
25056883,GR ESC FRANCISCO DA C GUIMARAES
25056891,GR ESC ALZIRA COUTINHO
25056913,GR ESC BELARMINO MOURA
25056921,GR ESC DR ANTONIO COUTINHO
25056956,GR ESC FRANCISCO LUCINDO PEREIRA
25056964,GR ESC JOSE ADELINO DE MELO
25056972,GR ESC JOSE CAPITULINO ROCHA
25056980,GR ESC JOSE FAUSTINO DA COSTA
25057022,GR ESC MARIA BATISTA DE SOUZA
25057057,GR ESC VICENTE PAULINO BEZERRA
