CO_ENTIDADE,NO_ENTIDADE
25089579,ESC MUL EMILIA BARBOSA MENDES
25089587,ESC MUL HENRIQUE JOAO DA SILVA
25089595,ESC MUL PREF BARTOLOMEU LINS
25089617,EM HENRIQUE VIEIRA DE ALBUQUERQUE
25089625,ESC MUL GOV FLAVIO RIBEIRO COUTINHO
25089633,ESC MUL BERENICE M RIBEIRO COUTINHO
25089650,ESC MUL JOAO LINS VIEIRA
25089668,ESC MUL PROFESSORA BEATRIZ LOPES
25089676,ESC MUL MANOEL INACIO
25089684,ESCOLA MUNICIPAL ARCANJO SOARES
25113887,ESC MUL NOVO TAIPU
25115545,CIEM - HENRIQUE VIEIRA DE A MELO
25127080,CENTRO DE EDUCACAO INFANTIL FRANCISCA MARINHO FALCAO
