CO_ENTIDADE,NO_ENTIDADE
24062243,ESCOLA MUNICIPAL BARBACO
24062251,ESC MUL BARBATAO
24062260,ESCOLA MUNICIPAL BELO HORIZONTE
24062278,ESCOLA MUNICIPAL BOA ESPERANCA
24062316,ESC MUL DE RIACHAO
24062324,ESCOLA MUNICIPAL DE SAO MIGUEL
24062332,ESCOLA MUNICIPAL SERROTE DE CIMA
24062340,ESCOLA MUNICIPAL GRIMALDI RIBEIRO
24062359,ESCOLA MUNICIPAL JESSE PINTO FREIRE
24062367,ESCOLA MUNICIPAL JOAO BISPO
24070858,ESCOLA MUNICIPAL FATIMA ARANHA
24071692,CRECHE MUNDO ENCANTADO
24083232,ESC MUL DO BOTAFOGO
24087297,SERVICO DE CONVIVENCIA E FORTALECIMENTOS DE VINCULOS
