CO_ENTIDADE,NO_ENTIDADE
24033804,E M DE TEMPO INTEGRAL ARTHEPHIO BEZERRA DA CUNHA - ENSINO FUNDAMENTAL II
24033812,ESCOLA MUNICIPAL DE TEMPO INTEGRAL CORONEL MARIZ
24033839,ESCOLA MUNICIPAL DE TEMPO INTEGRAL BARRA DE SAO PEDRO
24033847,ESC MUL CAPITAO JOSUE
24033863,ESC MUL MANOEL MARIZ
24033944,ESC MUL COM ANTONIO ALVARES MARIZ
24034070,ESC MUL LEANDRO CLEMENTINO DE FARIA
24034282,ESC MUL ROMAO GARCIA DE ARAUJO
24065862,ESCOLA MUNICIPAL DE TEMPO INTEGRAL HERMES FURTUNATO DOS SANTOS
24084921,CENTRO EDUCACIONAL INFANTIL DR RUY PEREIRA DOS SANTOS
