CO_ENTIDADE,NO_ENTIDADE
26000032,CRECHE CORACAO DE MARIA
26000105,ESCOLA ANTONIETA SALATIEL ALENCAR ARRAES
26000199,ESCOLA BOM JESUS DA LAPA
26000202,ESCOLA BOM JESUS DOS PASSOS
26000253,ESCOLA CRECHE TIA DIONEA
26000270,ESCOLA SEBASTIAO LESSE DE FIGUEIREDO LINS
26000288,ESCOLA DIONISIO DE DEUS LIMA
26000296,ESCOLA REIS RICARDINO DE LIMA
26000377,ESCOLA HENRIQUE ALVES BATISTA
26000385,ESCOLA HENRIQUE DIAS
26000393,ESCOLA HONORATO JORDAO PEREIRA
26000407,ESCOLA HONORIO MARTINS DE ALENCAR
26000431,ESCOLA JARBAS PASSARINHO
26000482,ESCOLA JOAO RODRIGUES DE ALENCAR
26000504,ESCOLA JOAQUIM NONATO DE ANDRADE
26000539,ESCOLA JOSE BATISTA MODESTO
26000555,ESCOLA JOSE FERREIRA LOPES
26000652,ESCOLA MARTINS JOSE DE ALENCAR
26000687,ESCOLA NOSSA SENHORA DA CONCEICAO
26000717,ESCOLA PASCOAL JOSE DE BARROS
26000768,ESCOLA PROCOPIO JOSE MODESTO
26000806,ESCOLA PROFESSORA PRAXEDES ALVES DE SOUZA
26000849,ESCOLA ANTONIO BRAZ SOBRINHO
26000873,ESCOLA SERRA DO APERTO
26000881,ESCOLA SERRA DO SANTINO
26000890,ESCOLA MUNICIPAL DO IRACEMA
26000903,ESCOLA SITIO JATOBA
26000938,ESCOLA ADELINO PEREIRA DE SOUZA
26001101,ESCOLA PROFª RAIMUNDA REIS DE ALENCAR
26001110,ESCOLA RAIMUNDO TELES DE OLIVEIRA
26001128,ESCOLA JUSCELINO KUBITSCHEK
26001268,ESCOLA MANOEL LOPES DE MACEDO
26001292,ESCOLA MUNICIPAL OTAVIO PEREIRA DE MELO
26001373,GRUPO ESCOLAR JOSE BALDOINO DA SILVA
26001403,ESCOLA DIONISIO BOM DE OLIVEIRA
26001420,ESCOLA FLORENTINO ALVES BATISTA
26001446,ESCOLA JOSE CLEMENTINO DO NASCIMENTO
26001470,ESCOLA PROFESSORA VANDA JACO
26001551,ESCOLA SITIO FLAMENGO
26001560,ESCOLA JUSTO FRANCO DE LIMA
26001616,ESCOLA DO SANGRADOURO
26001675,ESCOLA LEOPOLDINO COELHO
26001683,ESCOLA LUIZ RODRIGUES DO NASCIMENTO
26001705,ESCOLA SANTA HELENA
26001721,ESCOLA VIRGILIO COELHO
26001772,ESCOLA COSTA E SILVA
26001829,ESCOLA FELIPE COELHO
26001861,ESCOLA SITIO PAJEU
26136491,ESCOLA DE APLICACAO PROFESSORA RAIMUNDA REIS DE ALENCAR
26137971,ESCOLA ANA MARIA RODRIGUES
26140080,ESCOLA FRANCISCO FERREIRA DA CUNHA
26143364,ESCOLA GUIOMAR COSTA REIS
26143429,ESCOLA EVERARDO JOSE RODRIGUES PINHO
26143488,ESCOLA LUIZ RIBEIRO DE CARVALHO
26143496,ESCOLA JOAO FELIX DE ABREU
26143828,ESCOLA ANTONIO LAURINDO
26144123,ESCOLA PROFª MARIA LUZANIRA MUNIZ RAMOS
26151820,ESC CRECHE MARIA ANITA SANTIAGO ALENCAR
26155532,ESCOLA EVA MODESTO CORDEIRO
26159252,ESCOLA JOSE NERI DE OLIVEIRA
26159279,ESCOLA DR FRANCISCO DE ALENCAR LIMA
26179482,ESCOLA EDUARDO DE SOUSA CARVALHO
26190826,CENTRO MUNICIPAL DE EDUCACAO INFANTIL VO ANGELICA
26521717,CRECHE MAE CORINA
