CO_ENTIDADE,NO_ENTIDADE
27017451,ESCOLA DE ENSINO FUND ANTONIO PONCIANO DA SILVA
27017460,ESCOLA DE ENSINO FUND APOLINARIO G DOS SANTOS
27017478,ESCOLA DE ENSINO FUNDAMENTAL JOSE PAULO DA SILVA
27017486,ESCOLA DE ENSINO FUND LEOBINO JOSE DOS SANTOS
27017494,ESCOLA MUNICIPAL LUIS BELARMINO DOS SANTOS
27017508,ESCOLA DE ENSINO FUND MANOEL FELISBERTO DA CRUZ
27017516,ESCOLA DE ENSINO FUNDAMENTAL MANOEL JOAO SOARES
27017524,ESCOLA DE ENSINO FUND MANOEL LOPES DA SILVA
27017540,ESCOLA DE ENSINO FUND NOSSA SENHORA DA CONCEICAO
27017559,ESCOLA DE ENSINO FUNDAMENTAL PEDRO PAULO DA SILVA
27017567,ESCOLA DE ENSINO FUNDAMENTAL PRINCESA ISABEL
27017575,ESCOLA DE ENSINO FUNDAMENTAL SENHOR DO BOMFIM
27017583,ESCOLA DE ENSINO FUNDAMENTAL TANCREDO NEVES
27017605,ESCOLA DE ENSINO FUNDAMENTAL VER LEOCADIO SOARES
27017630,ESCOLA DE ENS FUND E MEDIO PROF DOUGLAS APRATTO TENORIO
27017648,ESCOLA DE ENSINO FUND PAULO DE QUEIROZ MOURA
27017656,ESCOLA DE ENSINO FUNDAMENTAL DUQUE DE CAXIAS
27017664,ESCOLA DE ENSINO FUNDAMENTAL FRANCISCO FERREIRA DA SILVA
27017680,ESCOLA DE ENSINO FUND MANOEL ISIDORO DA SILVA
27218392,ESCOLA DE ENSINO INFANTIL E FUNDAMENTAL SEMENTE
27218406,ESCOLA DE ENSINO FUND SULINO JOSE DA ROCHA
27255000,ESCOLA DE ENSINO FUNDAMENTAL EVANIO HIGINO DA SILVA
