CO_ENTIDADE,NO_ENTIDADE
24019844,ESCOLA MUNICIPAL RICARDO SERGIO DE LUCENA MELO
24019860,UNIDADE DE ENSINO IV CASSIMIRO MONTEIRO
24019879,UNIDADE DE ENSINO I MALHADA VERMELHA
24019950,UNIDADE DE ENSINO VI ANTONIO LOURENCO DE FREITAS
24019992,UNIDADE DE ENSINO VII BATISTA MELO
24020036,ESCOLA MUNICIPAL CORACAO DE MARIA
24020133,UNIDADE DE ENSINO III MILTON HOLANDA MELO
24020273,ESCOLA MUNICIPAL ZILDA AUGUSTA DE PAIVA
24020303,UNIDADE DE ENSINO VIII TURMA DA MONICA
24020320,UNIDADE DE ENSINO V MUNDO DA CRIANCA
24144215,CENTRO DE ATIVIDADES COMPLEMENTAR - PETI
