CO_ENTIDADE,NO_ENTIDADE
24056731,ESC MUL PROFA EMILIA RAMOS
24056839,CMEI PROFA STELLA LOPES DA SILVA
24056901,CMEI MISSIONARIO ODILON DOS SANTOS
24056936,CMEI KATIA FAGUNDES GARCIA
24056944,CMEI NOSSA SENHORA AUXILIADORA
24056952,CMEI PADRE JOAO PERESTRELLO
24057452,ESC MUL MONSENHOR JOAQUIM HONORIO
24058785,ESC MUL PROF ANTONIO CAMPOS E SILVA
24058793,ESC MUL PROF CARLOS BELLO MORENO
24058807,ESC MUL CELESTINO PIMENTEL
24058815,ESC MUL CHICO SANTEIRO
24058823,ESC MUL PROF ZUZA
24058831,ESC MUL DJALMA MARANHAO
24058840,ESC MUL FERREIRA ITAJUBA ENS DE 1º GRAU
24058858,ESC MUL HENRIQUE CASTRICIANO
24058866,ESC MUL JOAO XXIII
24058874,ESC MUL JUVENAL LAMARTINE
24058882,ESC MUL PREF MARIO LIRA
24058890,ESC MUL PROF ANTONIO SEVERIANO
24058912,ESC MUL PROF ARNALDO MONTEIRO BEZERRA
24058920,ESC MUL PROF BERILO WANDERLEY
24058939,ESC MUL PROF BERNARDO DO NASCIMENTO
24058947,ESC MUL PROF FCO DE ASSIS VARELA CAVALCANTI
24058955,ESC MUL PROFA IVONETE MACIEL
24058963,ESC MUL PROFA MALVINA COSME
24058971,ESC MUL PROF ULISSES DE GOIS
24058980,ESC MUL PROFA FRANCISCA FERREIRA DA SILVA
24058998,ESC MUL PROFA LAURA MAIA
24059005,ESC MUL SAO FRANCISCO DE ASSIS
24059013,ESC MUL SAO JOSE
24059021,ESC MUL NOSSA SRA DAS DORES
24059188,ESC MUL PROFA MARIA DALVA GOMES BEZERRA
24059196,ESC MUL PROFA TEREZINHA PAULINO DE LIMA
24059498,CMEI JESUS BOM PASTOR
24059960,CMEI NOSSA SENHORA DE SANTANA
24060275,ESC MUL JORNALISTA ERIVAN FRANCA
