CO_ENTIDADE,NO_ENTIDADE
24010898,ESCOLA MUNICIPAL PROFESSORA VALDEMIR FERNANDES DE MEDEIROS
24010901,UNIVERSIDADE INFANTIL RITA MEDEIROS
24011037,UNIDADE DE ENSINO I ALMINO BATISTA DE ARAUJO
24011045,UN IDADE DE ENSINO II ANA MARIA DO AMARAL
24011053,UNIDADE DE ENSINO III CIRILO BATISTA
24011070,UNIDADE DE ENSINO V DORINHA VALE
24011096,UNIDADE DE ENSINO VI DR LUIZ TERCEIRO JACOME
24011100,UNIDADE DE ENS VII ELOI GOMES DE ARAUJO
24011118,UNIDADE DE ENS VIII FRANCISCO OLEGARIO DE ARAUJO
24011126,UNIDADE DE ENSINO X GERONCIO GALVAO
24011142,UNIDADE DE ENSINO XII JOAQUIM DAS VIRGENS PEREIRA
24011150,UNIDADE DE ENSINO XIII JOSE FERREIRA
24011169,UNIDADE DE ENSINO XIV JOSE RODRIGUES DA SILVA
24011177,UNIDADE DE ENSINO XV JULIO PEREIRA DE ARAUJO
24011207,UNIDADE DE ENSINO XVIII MARECHAL RONDON
24011215,UNIDADE DE ENSINO XIX MIZAEL DUARTE PIMENTA
24011223,UNIDADE DE ENSINO XX NOSSA SRA DE FATIMA
24011231,UNIDADE DE ENSINO XXI OLAVO LAZARO
24011240,UNIDADE DE ENSINO XXII PE JOAO MARIA
24011266,UNIDADE DE ENSINO XXIV PEDRO TOMAZ DE ARAUJO
24011282,UNIDADE DE ENSINO XXVI PRES CASTELO BRANCO
24011290,UNIDADE DE ENSINO XXVII PRESIDENTE COSTA E SILVA
24011304,UNIDADE DE ENSINO XXVIII PRES KENNEDY
24011320,UNIDADE DE ENS XXXI PROF MARIA SANTINA DOS SANTOS
24011363,ESCOLA MUNICIPAL SANTO ALEXANDRE
24011371,UNIDADE DE ENS IX MANOEL CAMILO DE SALES
24011398,ESCOLA MUNICIPAL WAGNER LOPES DE MEDEIROS
24011436,UNIDADE DE ENSINO XXXVI SENADOR DINARTE MARIZ
24011444,ESCOLA MUNICIPAL SERRA DA CARNAUBA
24011460,ESCOLA MUNICIPAL JOEL LOPES GALVAO ENS DE 1º GRAU
24011487,PRE ESCOLAR FRANCISCO FABIO FELICIANO
24011495,UNIVERSIDADE INFANTIL PROFESSORA FRANCISCA LETICE DE BRITO
24065846,UNIDADE DE ENSINO XXXII SANTO EXPEDITO
24066842,UNIDADE DE ENSINO XXXVIII N S DOS NAVEGANTES
24080241,UNIDADE DE ENSINO XXXVII - VEREADOR LUIZ MENEZES
24082317,UNIDADE DE ENSINO PROFESSOR JOAO MENDONCA
24250201,CENTRO DE ATIVIDADES COMPLEMENTAR
