CO_ENTIDADE,NO_ENTIDADE
24017906,ESC MUL CRECHE MARIA JUSTINA
24018015,ESC MUL FRANCISCO ANDRE DE MORAIS
24018023,UNIDADE DE ENSINO JOAO DE DEUS FERNANDES
24018066,UNIDADE DE ENSINO ROSA FERNANDES DO NASCIMENTO
24018082,UNIDADE DE ENSINO ALEXANDRE SILVESTRE DA ROCHA
24018090,ESC MUL CEL ANTONIO GONCALVES
24018112,UNIDADE DE ENSINO JOSE ALEXANDRE DA SILVA
24018120,UNIDADE DE ENSINO FRANCISCA MARIA FILHA
24018147,UNIDADE DE ENSINO RAIMUNDO BARRETO DE ARAUJO
24063894,ESC MUL MANOEL FRANCISCO DE ANDRADE
24202207,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS
