CO_ENTIDADE,NO_ENTIDADE
24017183,ESC MUL DE 1G ALEXANDRE NONATO FERNANDES
24017280,ESC MUL ABILIO DEODATO
24017388,ESC MUL NANA VIEIRA
24017400,ESC MUL CICERO RODRIGUES
24017507,ESC MUL JOAO MARCOLINO DE OLIVEIRA
24017531,ESC MUL FRANCISCO T DE AQUINO
24017540,ESC MUL RAIMUNDO NONATO FERNANDES
24017566,ESC MUL MANOEL JOAO DA COSTA
24017574,ESC MUL MAXIMINO LOPES DE OLIVEIRA
24017698,ESC MUL RAIMUNDO NONATO FERNANDES
24017728,ESC MUL JOSE E DE OLIVEIRA SALES
24017825,ESC MUL SELEDON JOSE DO NASCIMENTO
24065374,ESC MUL FRANCISCO A SOBRINHO
24065390,ESC MUL AMERICA FERNANDES MAIA
24065439,ESC MUL ELIAS F QUEIROZ
24065897,ESC MUL RAQUEL SILVA
24068640,ESC MUN JOAO MARCELINO
24076341,ESCOLA MUNICIPAL CHAPEUZINHO VERMELHO
24076376,ESCOLA MUNICIPAL VARZEA GRANDE
24080675,ESC MUL DE ENSINO FUNDAMENTAL EDILTON FERNANDES
24209201,SERVICO DE CONVIVENCIA E FORTALECIMENTO DE VINCULOS
24322326,EM CACIMBAS
